ts,red,ir,green
1680103390111607,117335.0,160363.0,9727.0
1680103390121607,117308.0,160292.0,9749.0
1680103390130607,117284.0,160258.0,9748.0
1680103390141607,117253.0,160286.0,9726.0
1680103390151607,117211.0,160246.0,9707.0
1680103390161607,117167.0,160145.0,9717.0
1680103390171607,117136.0,160165.0,9690.0
1680103390181607,117135.0,160106.0,9682.0
1680103390192607,117048.0,160043.0,9674.0
1680103390202607,116978.0,160040.0,9662.0
1680103390212607,117000.0,159979.0,9657.0
1680103390221608,116963.0,159955.0,9650.0
1680103390231608,116927.0,159885.0,9648.0
1680103390241608,116891.0,159863.0,9645.0
1680103390251608,116863.0,159892.0,9634.0
1680103390260608,116817.0,159856.0,9611.0
1680103390270608,116837.0,159835.0,9628.0
1680103390281607,116831.0,159835.0,9574.0
1680103390291607,116815.0,159831.0,9618.0
1680103390300608,116786.0,159862.0,9633.0
1680103390311607,116839.0,159873.0,9620.0
1680103390321607,116845.0,159863.0,9607.0
1680103390331607,116874.0,159829.0,9637.0
1680103390340608,116881.0,159902.0,9645.0
1680103390350607,116944.0,159939.0,9647.0
1680103390361607,116887.0,159944.0,9647.0
1680103390371607,116901.0,159946.0,9641.0
1680103390381607,116935.0,159991.0,9643.0
1680103390392607,116933.0,159952.0,9651.0
1680103390400608,116903.0,159954.0,9650.0
1680103390411608,116953.0,159930.0,9617.0
1680103390421608,116949.0,159924.0,9627.0
1680103390430608,116938.0,159926.0,9660.0
1680103390441608,116934.0,159927.0,9653.0
1680103390451608,116889.0,159913.0,9654.0
1680103390461608,116903.0,159890.0,9639.0
1680103390471608,116919.0,159903.0,9651.0
1680103390480608,116870.0,159846.0,9633.0
1680103390491608,116900.0,159869.0,9651.0
1680103390502607,116882.0,159832.0,9640.0
1680103390510607,116875.0,159783.0,9630.0
1680103390521607,116866.0,159820.0,9612.0
1680103390530607,116839.0,159795.0,9626.0
1680103390541607,116836.0,159790.0,9592.0
1680103390552607,116802.0,159780.0,9608.0
1680103390562607,116812.0,159756.0,9617.0
1680103390573607,116796.0,159732.0,9643.0
1680103390581608,116795.0,159745.0,9624.0
1680103390590608,116742.0,159727.0,9627.0
1680103390600608,116750.0,159706.0,9627.0
1680103390611608,116787.0,159703.0,9581.0
1680103390621608,116781.0,159696.0,9620.0
1680103390630608,116771.0,159736.0,9619.0
1680103390640608,116771.0,159745.0,9611.0
1680103390651608,116784.0,159695.0,9598.0
1680103390661608,116785.0,159665.0,9618.0
