ts,x,y,z
1679343280567769,-9.82,0.24,-0.71
1679343280668769,-9.78,0.25,-0.68
1679343280768769,-9.8,0.25,-0.66
1679343280869769,-9.77,0.28,-0.65
1679343280971769,-9.78,0.28,-0.65
1679343281071769,-9.8,0.27,-0.68
1679343281172769,-9.81,0.23,-0.67
1679343281272769,-9.81,0.24,-0.68
1679343281372769,-9.8,0.22,-0.7
1679343281473769,-9.79,0.26,-0.68
1679343281574769,-9.76,0.31,-0.64
1679343281674769,-9.81,0.3,-0.66
1679343281775769,-9.77,0.28,-0.68
1679343281876769,-9.81,0.33,-0.68
1679343281976769,-9.81,0.35,-0.67
1679343282077769,-9.79,0.32,-0.7
1679343282178769,-9.8,0.35,-0.66
1679343282279769,-9.75,0.4,-0.65
1679343282379769,-9.79,0.33,-0.7
1679343282481769,-9.79,0.33,-0.72
1679343282582769,-9.81,0.31,-0.72
1679343282682769,-9.79,0.28,-0.72
1679343282783769,-9.78,0.3,-0.74
1679343282884769,-9.77,0.25,-0.77
1679343282985769,-9.8,0.26,-0.77
1679343283086769,-9.76,0.3,-0.75
1679343283187769,-9.76,0.31,-0.7
1679343283288769,-9.78,0.26,-0.77
1679343283390769,-9.79,0.27,-0.72
1679343283490769,-9.79,0.3,-0.72
1679343283591769,-9.79,0.3,-0.72
1679343283691769,-9.78,0.3,-0.71
1679343283792769,-9.76,0.31,-0.71
1679343283893769,-9.81,0.28,-0.75
1679343283993769,-9.78,0.3,-0.73
1679343284094769,-9.75,0.29,-0.71
1679343284195769,-9.79,0.33,-0.75
1679343284295769,-9.78,0.3,-0.73
1679343284396769,-9.8,0.32,-0.73
1679343284497769,-9.78,0.34,-0.73
1679343284598769,-9.82,0.31,-0.76
1679343284700769,-9.79,0.31,-0.73
1679343284801769,-9.78,0.31,-0.76
1679343284902769,-9.76,0.32,-0.73
1679343285003769,-9.78,0.34,-0.72
1679343285104769,-9.79,0.34,-0.73
1679343285205769,-9.79,0.34,-0.7
1679343285306769,-9.79,0.32,-0.74
1679343285407770,-9.76,0.34,-0.73
1679343285506770,-9.77,0.35,-0.73
1679343285607770,-9.79,0.37,-0.74
1679343285708770,-9.8,0.34,-0.76
1679343285810770,-9.76,0.35,-0.74
1679343285911770,-9.8,0.32,-0.78
1679343286011770,-9.77,0.35,-0.78
1679343286112770,-9.77,0.36,-0.78
1679343286213770,-9.79,0.39,-0.75
1679343286314770,-9.78,0.37,-0.74
1679343286415770,-9.8,0.36,-0.77
1679343286515770,-9.78,0.39,-0.74
1679343286616770,-9.8,0.4,-0.78
1679343286717770,-9.78,0.4,-0.74
1679343286817770,-9.79,0.4,-0.73
1679343286918770,-9.74,0.42,-0.73
1679343287019770,-9.79,0.35,-0.78
1679343287120769,-9.81,0.36,-0.77
1679343287221769,-9.79,0.38,-0.74
1679343287322769,-9.8,0.36,-0.75
1679343287422769,-9.77,0.36,-0.77
1679343287523769,-9.81,0.32,-0.74
1679343287623769,-9.78,0.4,-0.73
1679343287724769,-9.79,0.33,-0.75
1679343287825769,-9.79,0.37,-0.76
1679343287925769,-9.77,0.31,-0.74
1679343288026769,-9.77,0.34,-0.77
1679343288127769,-9.78,0.32,-0.74
1679343288229769,-9.78,0.34,-0.74
1679343288329769,-9.79,0.35,-0.74
1679343288430769,-9.78,0.36,-0.75
1679343288531769,-9.78,0.33,-0.77
1679343288631769,-9.77,0.35,-0.75
1679343288732769,-9.76,0.32,-0.73
1679343288833769,-9.77,0.37,-0.76
1679343288934769,-9.79,0.36,-0.74
1679343289035769,-9.79,0.34,-0.74
1679343289135769,-9.77,0.36,-0.75
