ts,red,ir,green
1679517990236018,122015.0,158140.0,8716.0
1679517990246018,122004.0,158143.0,8728.0
1679517990256019,122004.0,158100.0,8716.0
1679517990265019,122009.0,158096.0,8726.0
1679517990276018,122015.0,158130.0,8692.0
1679517990286018,122022.0,158124.0,8697.0
1679517990295019,122009.0,158129.0,8710.0
1679517990306018,122011.0,158153.0,8714.0
1679517990316018,122020.0,158159.0,8724.0
1679517990326018,122008.0,158135.0,8717.0
1679517990335018,122014.0,158129.0,8721.0
1679517990346018,122028.0,158147.0,8730.0
1679517990356018,122013.0,158163.0,8724.0
1679517990366018,122010.0,158160.0,8722.0
1679517990375018,122005.0,158153.0,8729.0
1679517990386018,121983.0,158159.0,8722.0
1679517990396018,121977.0,158166.0,8729.0
1679517990406018,121987.0,158159.0,8730.0
1679517990415018,122005.0,158148.0,8723.0
1679517990426018,122002.0,158173.0,8734.0
1679517990435019,122045.0,158161.0,8717.0
1679517990446019,122034.0,158164.0,8703.0
1679517990455019,122010.0,158160.0,8712.0
1679517990466019,122031.0,158198.0,8694.0
1679517990475019,122052.0,158172.0,8713.0
1679517990486019,122050.0,158191.0,8702.0
1679517990496019,122040.0,158150.0,8713.0
1679517990506019,122030.0,158142.0,8688.0
1679517990515019,122015.0,158117.0,8719.0
1679517990526018,121974.0,158115.0,8724.0
1679517990536018,121994.0,158091.0,8687.0
1679517990545019,121993.0,158073.0,8686.0
1679517990555019,121982.0,158048.0,8722.0
1679517990566018,121980.0,158045.0,8695.0
1679517990577018,121986.0,158065.0,8713.0
1679517990585018,122002.0,158082.0,8710.0
1679517990596018,121989.0,158093.0,8718.0
1679517990606018,122039.0,158123.0,8703.0
1679517990616019,122039.0,158151.0,8720.0
1679517990625019,122044.0,158167.0,8704.0
1679517990636019,122069.0,158192.0,8718.0
1679517990646019,122087.0,158207.0,8723.0
1679517990656019,122079.0,158210.0,8722.0
1679517990665019,122099.0,158233.0,8723.0
1679517990675019,122087.0,158235.0,8720.0
1679517990686019,122097.0,158230.0,8690.0
1679517990696019,122103.0,158257.0,8728.0
1679517990705019,122113.0,158272.0,8720.0
1679517990715019,122082.0,158272.0,8719.0
1679517990726019,122099.0,158268.0,8713.0
1679517990736019,122087.0,158265.0,8703.0
1679517990746019,122114.0,158269.0,8697.0
1679517990755019,122094.0,158266.0,8697.0
1679517990766018,122104.0,158252.0,8700.0
1679517990775019,122100.0,158245.0,8704.0
1679517990786018,122098.0,158256.0,8708.0
1679517990795019,122101.0,158247.0,8722.0
1679517990806018,122090.0,158230.0,8700.0
1679517990815019,122064.0,158238.0,8726.0
1679517990826018,122076.0,158227.0,8701.0
1679517990835018,122091.0,158234.0,8728.0
1679517990846018,122042.0,158230.0,8717.0
1679517990856018,122069.0,158224.0,8690.0
1679517990866018,122082.0,158230.0,8688.0
1679517990875018,122087.0,158226.0,8719.0
1679517990886018,122085.0,158253.0,8726.0
1679517990896018,122102.0,158253.0,8716.0
1679517990906018,122107.0,158244.0,8726.0
1679517990915018,122107.0,158280.0,8718.0
1679517990926018,122102.0,158294.0,8723.0
1679517990935018,122150.0,158274.0,8725.0
1679517990946018,122078.0,158277.0,8728.0
1679517990955018,122097.0,158264.0,8725.0
1679517990965018,122101.0,158272.0,8695.0
1679517990975019,122121.0,158269.0,8712.0
1679517990986019,122114.0,158255.0,8678.0
1679517990996019,122067.0,158283.0,8723.0
1679517991005019,122073.0,158272.0,8738.0
1679517991015019,122080.0,158252.0,8715.0
1679517991026018,122074.0,158273.0,8735.0
1679517991036018,122097.0,158272.0,8727.0
1679517991046018,122108.0,158247.0,8704.0
1679517991055019,122077.0,158210.0,8724.0
1679517991066018,122078.0,158253.0,8721.0
1679517991076018,122081.0,158254.0,8727.0
1679517991086018,122073.0,158226.0,8726.0
1679517991095018,122071.0,158238.0,8732.0
1679517991106018,122066.0,158254.0,8725.0
1679517991116018,122077.0,158235.0,8720.0
1679517991126018,122069.0,158248.0,8734.0
1679517991135018,122074.0,158244.0,8726.0
1679517991146018,122046.0,158248.0,8732.0
1679517991156019,122074.0,158237.0,8721.0
1679517991165019,122062.0,158241.0,8698.0
1679517991175019,122064.0,158249.0,8733.0
1679517991186019,122058.0,158263.0,8729.0
1679517991196019,122014.0,158251.0,8724.0
1679517991205019,122014.0,158232.0,8735.0
1679517991215019,122038.0,158236.0,8725.0
1679517991227019,122062.0,158238.0,8734.0
1679517991236019,122069.0,158189.0,8720.0
1679517991246019,122060.0,158278.0,8731.0
1679517991255019,122036.0,158249.0,8715.0
1679517991266019,122027.0,158242.0,8734.0
1679517991275019,122020.0,158251.0,8736.0
1679517991286019,122056.0,158237.0,8729.0
1679517991295019,122052.0,158247.0,8731.0
1679517991306019,122069.0,158256.0,8698.0
1679517991315019,122074.0,158247.0,8703.0
1679517991327019,122036.0,158259.0,8737.0
1679517991335018,122031.0,158247.0,8728.0
1679517991346018,122069.0,158239.0,8722.0
1679517991355018,122050.0,158243.0,8722.0
1679517991366018,122055.0,158253.0,8706.0
1679517991375018,122061.0,158233.0,8717.0
1679517991386018,122048.0,158248.0,8729.0
1679517991396018,122005.0,158200.0,8733.0
1679517991406018,121984.0,158186.0,8753.0
1679517991415018,121997.0,158148.0,8722.0
1679517991427019,121996.0,158093.0,8733.0
1679517991435018,121990.0,158098.0,8728.0
1679517991446018,121955.0,158094.0,8736.0
1679517991455018,121969.0,158109.0,8720.0
1679517991465018,121963.0,158121.0,8713.0
1679517991475018,121965.0,158124.0,8706.0
1679517991486018,121954.0,158156.0,8732.0
1679517991496018,121922.0,158106.0,8742.0
1679517991505018,121955.0,158166.0,8718.0
1679517991515019,121934.0,158148.0,8729.0
1679517991528019,121957.0,158155.0,8736.0
1679517991536018,121980.0,158140.0,8723.0
1679517991545019,121939.0,158189.0,8725.0
1679517991555019,121951.0,158146.0,8725.0
1679517991566018,121971.0,158158.0,8729.0
1679517991576018,121978.0,158159.0,8721.0
1679517991586018,121962.0,158176.0,8754.0
1679517991595018,121975.0,158160.0,8730.0
1679517991606018,121955.0,158181.0,8730.0
1679517991616018,121963.0,158139.0,8733.0
1679517991625018,121968.0,158192.0,8729.0
1679517991635018,121957.0,158168.0,8730.0
1679517991646018,121955.0,158173.0,8734.0
1679517991655018,121961.0,158183.0,8722.0
1679517991665018,121943.0,158176.0,8734.0
1679517991675018,121908.0,158174.0,8735.0
