ts,red,ir,green
1680104291932607,128812.0,152847.0,11818.0
1680104291941607,128826.0,152839.0,11816.0
1680104291953607,128854.0,152861.0,11776.0
1680104291962607,128869.0,152865.0,11803.0
1680104291971608,128840.0,152862.0,11808.0
1680104291981608,128855.0,152846.0,11820.0
1680104291992607,128875.0,152842.0,11837.0
1680104292002607,128848.0,152839.0,11817.0
1680104292013607,128921.0,152854.0,11833.0
1680104292023607,128856.0,152829.0,11883.0
1680104292032607,128955.0,152774.0,11878.0
1680104292042608,128914.0,152772.0,11878.0
1680104292052608,129020.0,152764.0,11821.0
1680104292062608,128997.0,152751.0,11876.0
1680104292071608,129009.0,152683.0,11877.0
1680104292083608,128984.0,152763.0,11833.0
1680104292093608,129003.0,152749.0,11863.0
1680104292101608,128992.0,152793.0,11872.0
1680104292111608,128997.0,152770.0,11852.0
1680104292122608,128990.0,152804.0,11843.0
1680104292132608,129003.0,152845.0,11856.0
1680104292143607,128870.0,152840.0,11848.0
1680104292152608,128955.0,152824.0,11850.0
1680104292161608,128878.0,152844.0,11833.0
1680104292172608,128926.0,152854.0,11806.0
1680104292183607,128928.0,152820.0,11828.0
1680104292192608,128880.0,152841.0,11833.0
1680104292201608,128874.0,152887.0,11824.0
1680104292212607,128881.0,152895.0,11784.0
1680104292223608,128891.0,152852.0,11815.0
1680104292231608,128901.0,152878.0,11816.0
1680104292242607,128878.0,152885.0,11820.0
1680104292252607,128899.0,152891.0,11801.0
1680104292262607,128925.0,152870.0,11822.0
1680104292272607,128898.0,152880.0,11818.0
1680104292284608,128914.0,152848.0,11819.0
1680104292291607,128905.0,152861.0,11831.0
1680104292301607,128908.0,152844.0,11807.0
1680104292311607,128924.0,152859.0,11798.0
1680104292323608,128935.0,152888.0,11830.0
1680104292332608,128928.0,152826.0,11878.0
1680104292341608,128927.0,152815.0,11843.0
1680104292352608,128974.0,152806.0,11835.0
1680104292362608,128897.0,152835.0,11835.0
1680104292374608,128917.0,152800.0,11834.0
1680104292381608,128890.0,152836.0,11830.0
1680104292391608,128944.0,152795.0,11836.0
1680104292402608,128907.0,152816.0,11790.0
1680104292414608,128912.0,152811.0,11830.0
1680104292421608,128903.0,152792.0,11833.0
1680104292431608,128890.0,152752.0,11823.0
1680104292442608,128917.0,152809.0,11834.0
1680104292452607,128850.0,152859.0,11821.0
1680104292463607,128903.0,152800.0,11824.0
1680104292471607,128843.0,152811.0,11826.0
1680104292481607,128860.0,152773.0,11817.0
1680104292492607,128902.0,152826.0,11784.0
1680104292504607,128910.0,152807.0,11815.0
1680104292511607,128894.0,152776.0,11831.0
1680104292521607,128891.0,152786.0,11809.0
1680104292531607,128897.0,152816.0,11829.0
1680104292543607,128901.0,152849.0,11816.0
1680104292551607,128911.0,152837.0,11823.0
1680104292561607,128905.0,152801.0,11822.0
1680104292572607,128923.0,152839.0,11807.0
1680104292582608,128892.0,152861.0,11818.0
1680104292591608,128877.0,152864.0,11818.0
1680104292601608,128901.0,152828.0,11817.0
1680104292613608,128896.0,152871.0,11811.0
1680104292622608,128888.0,152858.0,11840.0
1680104292631608,128871.0,152852.0,11790.0
1680104292643608,128924.0,152860.0,11809.0
1680104292653608,128857.0,152801.0,11848.0
1680104292662608,128868.0,152845.0,11808.0
1680104292671608,128847.0,152791.0,11816.0
1680104292683608,128885.0,152860.0,11771.0
1680104292693608,128884.0,152841.0,11807.0
1680104292701608,128893.0,152807.0,11815.0
1680104292711608,128915.0,152817.0,11842.0
1680104292721608,128932.0,152810.0,11849.0
1680104292732608,128942.0,152810.0,11838.0
1680104292741608,128982.0,152749.0,11887.0
1680104292752608,129001.0,152706.0,11862.0
1680104292761608,129061.0,152735.0,11860.0
1680104292773608,129034.0,152738.0,11874.0
1680104292783608,129025.0,152689.0,11912.0
1680104292791607,129049.0,152666.0,11857.0
1680104292801607,129010.0,152667.0,11839.0
1680104292812607,129019.0,152697.0,11854.0
1680104292821607,128960.0,152679.0,11867.0
1680104292831607,129011.0,152687.0,11841.0
1680104292842607,129003.0,152700.0,11861.0
1680104292852607,128947.0,152694.0,11849.0
1680104292861607,128973.0,152681.0,11857.0
1680104292871607,128953.0,152704.0,11850.0
1680104292882607,128972.0,152742.0,11825.0
1680104292892607,128961.0,152760.0,11841.0
1680104292901607,128959.0,152744.0,11829.0
1680104292911607,128931.0,152773.0,11830.0
1680104292922607,128908.0,152761.0,11824.0
1680104292930607,128913.0,152770.0,11818.0
1680104292941608,128917.0,152783.0,11826.0
1680104292951608,128912.0,152789.0,11830.0
1680104292962607,128906.0,152831.0,11814.0
1680104292971608,128871.0,152798.0,11872.0
1680104292981608,128923.0,152755.0,11836.0
1680104292992607,128971.0,152799.0,11823.0
1680104293002607,128919.0,152826.0,11824.0
1680104293013607,128928.0,152775.0,11824.0
1680104293020607,128947.0,152702.0,11839.0
1680104293031607,128941.0,152762.0,11817.0
1680104293042607,128943.0,152775.0,11838.0
1680104293051607,128902.0,152768.0,11837.0
1680104293061607,128949.0,152763.0,11838.0
1680104293072607,128947.0,152776.0,11795.0
1680104293082607,128950.0,152744.0,11830.0
1680104293090607,128953.0,152774.0,11841.0
1680104293102607,128915.0,152773.0,11805.0
1680104293112607,128953.0,152770.0,11825.0
1680104293121608,128939.0,152796.0,11824.0
1680104293130608,128930.0,152772.0,11797.0
1680104293143608,128950.0,152808.0,11807.0
1680104293151608,128929.0,152807.0,11826.0
1680104293161608,128928.0,152799.0,11824.0
1680104293171608,128919.0,152817.0,11821.0
1680104293182608,128907.0,152844.0,11820.0
1680104293191608,128923.0,152840.0,11863.0
1680104293201608,128920.0,152835.0,11829.0
1680104293212607,128902.0,152833.0,11819.0
1680104293220607,128926.0,152845.0,11845.0
1680104293231607,128919.0,152824.0,11824.0
1680104293241607,128955.0,152859.0,11823.0
1680104293253607,128930.0,152902.0,11812.0
1680104293261607,128906.0,152859.0,11838.0
1680104293271607,128922.0,152854.0,11794.0
1680104293281607,128960.0,152854.0,11832.0
1680104293293607,128865.0,152894.0,11817.0
1680104293301608,128912.0,152829.0,11838.0
1680104293311608,128852.0,152878.0,11819.0
1680104293323608,128922.0,152882.0,11811.0
1680104293333608,128915.0,152859.0,11833.0
1680104293340608,128907.0,152858.0,11817.0
1680104293351608,128907.0,152850.0,11789.0
1680104293363608,128910.0,152834.0,11820.0
1680104293371608,128877.0,152778.0,11828.0
1680104293380608,128924.0,152881.0,11817.0
1680104293393608,128884.0,152872.0,11811.0
1680104293401608,128921.0,152832.0,11822.0
1680104293411608,128925.0,152866.0,11824.0
1680104293421608,128945.0,152874.0,11835.0
1680104293430608,128949.0,152910.0,11831.0
1680104293441608,128955.0,152852.0,11858.0
1680104293451608,129004.0,152817.0,11862.0
1680104293462607,129052.0,152812.0,11860.0
1680104293472607,129038.0,152816.0,11869.0
1680104293481608,129041.0,152738.0,11909.0
1680104293490608,129073.0,152767.0,11880.0
1680104293502608,129055.0,152746.0,11875.0
1680104293511608,129054.0,152717.0,11874.0
1680104293520608,129019.0,152756.0,11882.0
1680104293532608,129022.0,152759.0,11857.0
1680104293542608,129029.0,152701.0,11867.0
1680104293550608,128991.0,152740.0,11861.0
1680104293561608,128984.0,152789.0,11863.0
1680104293571608,129019.0,152787.0,11853.0
1680104293582608,129032.0,152817.0,11854.0
1680104293590608,128942.0,152849.0,11844.0
1680104293601607,128985.0,152773.0,11853.0
1680104293611607,129022.0,152838.0,11847.0
1680104293622607,128995.0,152873.0,11829.0
1680104293632607,128937.0,152871.0,11823.0
1680104293641607,128927.0,152839.0,11834.0
1680104293651607,128881.0,152867.0,11822.0
1680104293662608,128951.0,152870.0,11827.0
1680104293671608,128923.0,152848.0,11810.0
1680104293681608,128891.0,152888.0,11816.0
1680104293690608,128900.0,152838.0,11829.0
1680104293702608,128945.0,152875.0,11789.0
1680104293712608,128953.0,152835.0,11825.0
1680104293720608,128947.0,152852.0,11819.0
1680104293730608,128944.0,152824.0,11833.0
1680104293741608,128972.0,152831.0,11839.0
1680104293753608,128960.0,152819.0,11836.0
1680104293762608,128936.0,152827.0,11862.0
1680104293771608,128936.0,152806.0,11829.0
1680104293782608,128931.0,152762.0,11829.0
1680104293792608,128949.0,152780.0,11835.0
1680104293801608,128959.0,152810.0,11833.0
1680104293810608,128969.0,152803.0,11839.0
1680104293822608,128936.0,152825.0,11796.0
1680104293832608,128961.0,152804.0,11832.0
1680104293840608,128948.0,152773.0,11831.0
1680104293850608,128961.0,152791.0,11808.0
1680104293862608,128958.0,152803.0,11817.0
1680104293871608,128939.0,152813.0,11823.0
1680104293880608,128953.0,152820.0,11811.0
1680104293892608,128944.0,152829.0,11820.0
1680104293900608,128926.0,152827.0,11829.0
1680104293911608,128893.0,152813.0,11822.0
1680104293921608,128946.0,152814.0,11819.0
1680104293932608,128995.0,152841.0,11812.0
1680104293942608,128927.0,152808.0,11815.0
1680104293951608,128919.0,152783.0,11855.0
1680104293961608,128934.0,152823.0,11797.0
1680104293970608,128929.0,152877.0,11818.0
