ts,x,y,z
1679064549676882,-9.77,0.4,-0.63
1679064549776882,-9.78,0.44,-0.62
1679064549877881,-9.78,0.4,-0.62
1679064549978881,-9.8,0.43,-0.62
1679064550078881,-9.8,0.43,-0.61
1679064550179881,-9.8,0.44,-0.63
1679064550280881,-9.76,0.42,-0.63
1679064550381881,-9.76,0.41,-0.61
1679064550482881,-9.77,0.42,-0.64
1679064550582881,-9.76,0.43,-0.63
1679064550684881,-9.77,0.42,-0.63
1679064550785881,-9.78,0.44,-0.6
1679064550886881,-9.79,0.42,-0.63
1679064550987881,-9.76,0.4,-0.6
1679064551087881,-9.8,0.4,-0.66
1679064551188881,-9.78,0.42,-0.6
1679064551289881,-9.76,0.41,-0.64
1679064551390881,-9.76,0.43,-0.61
1679064551490881,-9.77,0.43,-0.61
1679064551591881,-9.75,0.44,-0.59
1679064551692881,-9.79,0.43,-0.63
1679064551792881,-9.79,0.42,-0.61
1679064551893881,-9.79,0.43,-0.62
1679064551994881,-9.77,0.41,-0.59
1679064552095881,-9.77,0.42,-0.61
1679064552195881,-9.78,0.39,-0.61
1679064552294881,-9.78,0.42,-0.64
1679064552395881,-9.76,0.42,-0.61
1679064552495881,-9.77,0.4,-0.67
1679064552596881,-9.78,0.44,-0.63
1679064552696881,-9.78,0.41,-0.6
1679064552797881,-9.78,0.42,-0.64
1679064552898881,-9.76,0.41,-0.62
1679064552999881,-9.79,0.4,-0.62
1679064553100881,-9.77,0.42,-0.64
1679064553200881,-9.77,0.42,-0.67
1679064553300881,-9.77,0.41,-0.63
1679064553401881,-9.77,0.38,-0.62
1679064553503881,-9.79,0.41,-0.62
1679064553604881,-9.81,0.42,-0.62
1679064553705881,-9.78,0.42,-0.62
1679064553806881,-9.79,0.41,-0.64
1679064553907881,-9.79,0.41,-0.6
1679064554007881,-9.78,0.42,-0.63
1679064554108881,-9.77,0.42,-0.62
1679064554209881,-9.78,0.43,-0.63
1679064554309881,-9.77,0.41,-0.59
1679064554410881,-9.79,0.43,-0.63
1679064554511881,-9.76,0.44,-0.61
1679064554613881,-9.79,0.43,-0.62
1679064554714881,-9.78,0.41,-0.64
1679064554815881,-9.78,0.41,-0.67
1679064554915881,-9.78,0.43,-0.65
1679064555016881,-9.76,0.42,-0.59
1679064555117881,-9.79,0.43,-0.65
1679064555218881,-9.78,0.42,-0.62
1679064555319882,-9.78,0.42,-0.64
1679064555419881,-9.78,0.41,-0.64
1679064555520882,-9.8,0.42,-0.64
1679064555621882,-9.79,0.42,-0.64
1679064555722882,-9.77,0.41,-0.64
1679064555823882,-9.78,0.42,-0.6
1679064555923882,-9.78,0.43,-0.63
1679064556024882,-9.77,0.41,-0.6
1679064556125882,-9.78,0.43,-0.61
1679064556225882,-9.8,0.45,-0.63
1679064556326882,-9.76,0.44,-0.6
1679064556427882,-9.77,0.39,-0.62
1679064556527881,-9.78,0.38,-0.66
1679064556627881,-9.77,0.43,-0.59
1679064556728881,-9.78,0.43,-0.62
1679064556829881,-9.78,0.41,-0.62
1679064556929881,-9.77,0.42,-0.63
1679064557030881,-9.79,0.42,-0.62
1679064557131881,-9.77,0.39,-0.59
1679064557232881,-9.8,0.42,-0.63
1679064557332881,-9.78,0.41,-0.6
1679064557433881,-9.78,0.42,-0.6
1679064557534881,-9.77,0.4,-0.62
1679064557633881,-9.76,0.42,-0.66
1679064557734881,-9.79,0.42,-0.62
1679064557835881,-9.78,0.4,-0.63
1679064557934881,-9.78,0.42,-0.63
1679064558034881,-9.77,0.41,-0.65
1679064558135881,-9.77,0.42,-0.66
1679064558236881,-9.77,0.41,-0.6
1679064558336881,-9.8,0.43,-0.64
1679064558437881,-9.78,0.43,-0.63
1679064558538881,-9.76,0.41,-0.67
1679064558638881,-9.79,0.42,-0.63
1679064558739881,-9.78,0.43,-0.6
1679064558841881,-9.76,0.43,-0.62
1679064558942881,-9.78,0.43,-0.64
1679064559043881,-9.78,0.41,-0.6
1679064559143881,-9.79,0.4,-0.64
1679064559244881,-9.77,0.4,-0.64
1679064559345881,-9.82,0.42,-0.64
1679064559446881,-9.78,0.44,-0.66
1679064559546881,-9.76,0.42,-0.63
1679064559647881,-9.78,0.42,-0.64
1679064559748881,-9.78,0.42,-0.63
1679064559851881,-9.79,0.44,-0.64
1679064559952881,-9.79,0.44,-0.6
1679064560053881,-9.78,0.41,-0.61
1679064560154881,-9.78,0.41,-0.68
1679064560253881,-9.74,0.43,-0.62
1679064560354881,-9.78,0.42,-0.65
1679064560454881,-9.77,0.42,-0.62
1679064560555881,-9.78,0.42,-0.63
1679064560656881,-9.77,0.41,-0.61
1679064560757881,-9.78,0.41,-0.64
1679064560858881,-9.79,0.44,-0.64
1679064560959881,-9.77,0.43,-0.64
1679064561061881,-9.78,0.43,-0.65
1679064561161881,-9.77,0.41,-0.62
1679064561261881,-9.78,0.43,-0.62
1679064561362881,-9.79,0.44,-0.62
1679064561461881,-9.78,0.43,-0.64
1679064561562881,-9.82,0.42,-0.67
1679064561663881,-9.8,0.43,-0.64
1679064561763881,-9.79,0.42,-0.63
1679064561864881,-9.8,0.43,-0.64
1679064561965881,-9.78,0.43,-0.64
1679064562066881,-9.76,0.44,-0.63
1679064562166881,-9.79,0.41,-0.65
1679064562266881,-9.79,0.42,-0.66
1679064562367881,-9.77,0.43,-0.62
1679064562468881,-9.79,0.42,-0.63
1679064562570881,-9.8,0.41,-0.64
1679064562670881,-9.79,0.42,-0.64
1679064562771881,-9.8,0.42,-0.64
1679064562872881,-9.77,0.42,-0.63
1679064562973881,-9.78,0.41,-0.65
1679064563073881,-9.8,0.42,-0.63
1679064563174881,-9.79,0.43,-0.62
1679064563275881,-9.77,0.42,-0.63
1679064563375881,-9.76,0.41,-0.63
1679064563476881,-9.78,0.43,-0.66
1679064563576881,-9.78,0.43,-0.65
1679064563677881,-9.78,0.43,-0.64
1679064563777881,-9.8,0.42,-0.64
1679064563878881,-9.76,0.43,-0.62
1679064563979881,-9.78,0.43,-0.63
1679064564079881,-9.78,0.43,-0.63
1679064564180881,-9.79,0.41,-0.63
1679064564281881,-9.77,0.42,-0.63
1679064564382881,-9.76,0.42,-0.66
1679064564482881,-9.78,0.42,-0.63
1679064564583881,-9.77,0.43,-0.61
1679064564684881,-9.79,0.41,-0.64
1679064564785881,-9.77,0.42,-0.64
1679064564886881,-9.79,0.43,-0.65
1679064564986881,-9.8,0.44,-0.63
1679064565086881,-9.8,0.42,-0.63
1679064565187881,-9.78,0.42,-0.63
1679064565289881,-9.78,0.42,-0.63
1679064565390881,-9.78,0.44,-0.63
1679064565491881,-9.79,0.43,-0.63
1679064565592881,-9.79,0.43,-0.63
1679064565692881,-9.79,0.43,-0.63
1679064565793881,-9.78,0.41,-0.62
1679064565893881,-9.77,0.41,-0.64
1679064565994881,-9.77,0.41,-0.63
1679064566094881,-9.81,0.39,-0.65
1679064566195881,-9.77,0.44,-0.63
1679064566295881,-9.77,0.4,-0.64
1679064566396881,-9.78,0.43,-0.63
1679064566497881,-9.77,0.41,-0.61
1679064566599881,-9.76,0.41,-0.62
1679064566699881,-9.79,0.44,-0.65
1679064566800881,-9.8,0.43,-0.63
1679064566900881,-9.78,0.44,-0.63
1679064567001881,-9.77,0.44,-0.64
1679064567102881,-9.77,0.41,-0.63
1679064567201881,-9.79,0.44,-0.64
1679064567302881,-9.78,0.42,-0.64
1679064567402881,-9.78,0.41,-0.64
1679064567503881,-9.78,0.41,-0.64
1679064567603881,-9.75,0.43,-0.63
1679064567704881,-9.77,0.43,-0.66
1679064567805881,-9.76,0.42,-0.63
1679064567905881,-9.82,0.42,-0.66
1679064568006881,-9.77,0.4,-0.63
1679064568108881,-9.76,0.41,-0.62
1679064568209881,-9.8,0.42,-0.65
1679064568309881,-9.76,0.4,-0.61
1679064568410881,-9.77,0.42,-0.64
1679064568510881,-9.76,0.4,-0.62
1679064568611881,-9.79,0.44,-0.62
1679064568711881,-9.79,0.4,-0.63
1679064568812881,-9.77,0.43,-0.61
1679064568913881,-9.79,0.42,-0.65
1679064569014881,-9.77,0.43,-0.61
1679064569115881,-9.75,0.42,-0.62
1679064569217881,-9.84,0.38,-0.62
1679064569317881,-9.8,0.39,-0.62
1679064569418881,-9.76,0.45,-0.59
1679064569519881,-9.82,0.46,-0.63
1679064569618881,-9.81,0.48,-0.58
1679064569719881,-9.72,0.43,-0.59
1679064569820881,-9.81,0.44,-0.59
1679064569920881,-9.79,0.46,-0.62
1679064570021881,-9.75,0.42,-0.7
1679064570122881,-9.66,0.36,-0.56
1679064570223881,-10.39,2.77,1.56
1679064570324881,-9.99,0.57,-0.35
1679064570424881,-9.17,0.0,-0.43
1679064570525881,-10.04,-0.84,-0.8
1679064570626881,-10.26,1.16,-0.19
1679064570727881,-9.87,-0.66,-1.64
1679064570828881,-8.95,0.7,-0.33
1679064570928881,-10.51,3.28,3.29
1679064571029881,-9.5,-0.35,-1.75
1679064571129881,-9.76,2.0,-1.34
1679064571230881,-9.43,0.66,0.5
1679064571331881,-10.32,2.13,1.61
1679064571432881,-10.27,1.1,-2.52
1679064571532881,-8.88,-1.03,-1.4
1679064571633881,-10.58,-1.46,-2.73
1679064571733881,-8.69,1.29,-0.13
1679064571834881,-9.04,2.52,0.21
1679064571936881,-9.42,-0.34,-1.76
1679064572037881,-8.96,1.09,0.54
1679064572137881,-10.31,2.05,-1.36
1679064572238881,-9.27,1.33,-1.85
1679064572339881,-8.72,1.98,0.58
1679064572439881,-10.12,1.78,0.64
1679064572540881,-9.93,0.95,-1.23
1679064572641881,-9.63,-0.48,-2.74
1679064572742881,-9.29,0.79,0.16
1679064572843881,-9.54,2.1,1.32
