ts,x,y,z
1679342873769769,-9.77,0.26,-0.8
1679342873870769,-9.8,0.26,-0.8
1679342873971769,-9.79,0.28,-0.76
1679342874072769,-9.77,0.23,-0.79
1679342874172769,-9.78,0.24,-0.82
1679342874272769,-9.77,0.23,-0.78
1679342874373769,-9.82,0.24,-0.79
1679342874474769,-9.77,0.24,-0.79
1679342874575769,-9.78,0.23,-0.8
1679342874675769,-9.79,0.24,-0.8
1679342874776769,-9.77,0.26,-0.78
1679342874879769,-9.78,0.25,-0.76
1679342874979769,-9.79,0.25,-0.8
1679342875079769,-9.8,0.26,-0.8
1679342875180769,-9.77,0.25,-0.77
1679342875281769,-9.76,0.28,-0.79
1679342875381769,-9.78,0.22,-0.81
1679342875482769,-9.76,0.23,-0.81
1679342875583769,-9.79,0.28,-0.75
1679342875684769,-9.77,0.27,-0.76
1679342875785769,-9.77,0.28,-0.76
1679342875885769,-9.8,0.28,-0.8
1679342875986769,-9.77,0.26,-0.8
1679342876088769,-9.77,0.29,-0.79
1679342876189769,-9.79,0.39,-0.79
1679342876290769,-9.77,0.29,-0.85
1679342876390769,-9.79,0.29,-0.8
1679342876491769,-9.79,0.28,-0.8
1679342876592769,-9.77,0.28,-0.79
1679342876692769,-9.76,0.31,-0.75
1679342876793769,-9.75,0.25,-0.77
1679342876893769,-9.79,0.25,-0.81
1679342876994769,-9.71,0.28,-0.68
1679342877095769,-9.94,0.23,-0.98
1679342877195769,-9.87,-0.08,-0.94
1679342877296769,-9.65,0.45,-0.69
1679342877397769,-9.79,0.25,-0.74
1679342877498769,-9.75,0.25,-0.71
1679342877599769,-9.77,0.36,-0.67
1679342877699769,-9.79,0.33,-0.82
1679342877799769,-9.65,0.23,-0.78
1679342877900769,-9.78,0.24,-0.75
1679342878001769,-9.81,0.14,-0.77
1679342878102769,-9.73,0.24,-0.74
1679342878203769,-9.76,0.25,-0.8
1679342878304769,-9.75,0.24,-0.81
1679342878404769,-9.76,0.27,-0.75
1679342878505769,-9.71,0.25,-0.72
1679342878605769,-9.78,0.24,-0.75
1679342878706769,-9.75,0.32,-0.74
1679342878807769,-9.82,0.36,-0.74
1679342878908769,-9.78,0.31,-0.78
1679342879009769,-9.78,0.32,-0.8
1679342879110769,-9.79,0.34,-0.76
1679342879211769,-9.78,0.36,-0.75
1679342879311769,-9.77,0.3,-0.79
1679342879412769,-9.78,0.3,-0.76
1679342879513769,-9.8,0.35,-0.76
1679342879613769,-9.78,0.33,-0.8
1679342879713769,-9.78,0.37,-0.73
1679342879814769,-9.76,0.34,-0.77
1679342879914769,-9.76,0.4,-0.72
1679342880015769,-9.83,0.33,-0.7
1679342880117769,-9.78,0.38,-0.75
1679342880218769,-9.77,0.37,-0.77
1679342880319769,-9.78,0.39,-0.75
1679342880420769,-9.77,0.36,-0.8
1679342880520769,-9.76,0.35,-0.75
1679342880621769,-9.76,0.36,-0.78
1679342880722769,-9.77,0.32,-0.77
1679342880823769,-9.82,0.36,-0.8
1679342880922769,-9.79,0.32,-0.8
1679342881023769,-9.79,0.29,-0.8
1679342881123769,-9.78,0.28,-0.79
1679342881223769,-9.77,0.28,-0.8
1679342881324769,-9.79,0.26,-0.78
1679342881424769,-9.74,0.32,-0.76
1679342881525769,-9.78,0.26,-0.81
1679342881625769,-9.65,0.28,-0.83
1679342881727769,-9.82,0.29,-0.83
1679342881828769,-9.8,0.25,-0.83
1679342881929769,-9.77,0.26,-0.81
1679342882030769,-9.79,0.29,-0.76
1679342882130769,-9.79,0.24,-0.82
1679342882231769,-9.79,0.29,-0.81
1679342882332769,-9.78,0.29,-0.81
1679342882433769,-9.79,0.28,-0.76
1679342882533769,-9.79,0.33,-0.81
1679342882634769,-9.76,0.31,-0.83
1679342882736769,-9.78,0.34,-0.76
1679342882837769,-9.77,0.32,-0.81
1679342882938769,-9.72,0.3,-0.84
1679342883039769,-9.84,0.32,-0.79
1679342883139769,-9.8,0.39,-0.82
1679342883240769,-9.85,0.34,-0.77
1679342883341769,-9.8,0.33,-0.79
1679342883441769,-9.75,0.4,-0.8
1679342883542769,-9.82,0.23,-0.78
1679342883643769,-9.79,0.4,-0.78
1679342883744769,-9.76,0.41,-0.76
1679342883846769,-9.74,0.36,-0.77
1679342883947769,-9.76,0.39,-0.77
1679342884047769,-9.76,0.35,-0.77
1679342884148769,-9.76,0.37,-0.81
1679342884248769,-9.72,0.29,-0.75
1679342884349769,-9.86,0.39,-0.86
1679342884449769,-9.79,0.37,-0.8
1679342884550769,-9.77,0.33,-0.8
1679342884650769,-9.82,0.37,-0.78
1679342884751769,-9.8,0.32,-0.8
1679342884851769,-9.78,0.33,-0.79
1679342884952769,-9.76,0.32,-0.8
1679342885052769,-9.77,0.31,-0.8
1679342885153769,-9.78,0.33,-0.79
1679342885254769,-9.79,0.33,-0.79
1679342885356769,-9.74,0.3,-0.83
1679342885456769,-9.79,0.39,-0.76
1679342885557769,-9.75,0.31,-0.79
1679342885658769,-9.78,0.33,-0.8
1679342885758769,-9.77,0.3,-0.83
1679342885859769,-9.79,0.34,-0.8
1679342885959769,-9.79,0.35,-0.83
1679342886060769,-9.78,0.33,-0.78
1679342886160769,-9.8,0.37,-0.8
1679342886261769,-9.75,0.37,-0.79
1679342886362769,-9.79,0.37,-0.82
1679342886462769,-9.78,0.34,-0.77
1679342886562769,-9.8,0.35,-0.8
1679342886663769,-9.78,0.37,-0.78
1679342886763769,-9.77,0.37,-0.76
1679342886864769,-9.79,0.34,-0.77
1679342886965769,-9.8,0.3,-0.82
1679342887066769,-9.79,0.26,-0.83
1679342887167769,-9.79,0.25,-0.82
1679342887267769,-9.88,0.3,-0.88
1679342887368769,-9.82,0.33,-0.81
1679342887469769,-9.82,0.22,-0.78
1679342887569769,-9.81,0.32,-0.76
1679342887670769,-9.79,0.39,-0.81
1679342887771769,-9.75,0.39,-0.75
1679342887872769,-9.74,0.42,-0.74
1679342887972769,-9.77,0.36,-0.76
1679342888073769,-9.76,0.41,-0.78
1679342888173769,-9.77,0.4,-0.77
1679342888275769,-9.8,0.39,-0.77
1679342888375769,-9.79,0.35,-0.74
1679342888476769,-9.77,0.23,-0.79
1679342888577769,-9.77,0.3,-0.76
1679342888678769,-9.75,0.34,-0.74
1679342888779769,-9.8,0.23,-0.8
1679342888879769,-9.81,0.27,-0.8
1679342888980769,-9.81,0.28,-0.84
1679342889081769,-9.8,0.2,-0.85
1679342889181769,-9.8,0.17,-0.87
1679342889282769,-9.8,0.24,-0.82
1679342889384769,-9.8,0.22,-0.8
1679342889485769,-9.79,0.26,-0.75
1679342889586769,-9.76,0.23,-0.79
1679342889686769,-9.73,0.21,-0.85
1679342889787769,-9.79,0.24,-0.74
1679342889888769,-9.77,0.23,-0.74
1679342889989769,-9.79,0.22,-0.77
1679342890089769,-9.79,0.23,-0.74
1679342890189769,-9.77,0.21,-0.76
1679342890289769,-9.79,0.23,-0.74
1679342890390769,-9.8,0.22,-0.77
1679342890491769,-9.76,0.22,-0.8
1679342890592769,-9.81,0.21,-0.78
1679342890693769,-9.79,0.21,-0.81
1679342890795769,-9.79,0.19,-0.79
