ts,x,y,z
2023-04-13 18:38:33.573570,-9.83,-0.77,0.39
2023-04-13 18:38:33.674570,-9.85,-0.74,0.36
2023-04-13 18:38:33.775570,-9.85,-0.69,0.37
2023-04-13 18:38:33.875570,-9.82,-0.68,0.35
2023-04-13 18:38:33.976570,-9.8,-0.72,0.35
2023-04-13 18:38:34.076570,-9.82,-0.69,0.34
2023-04-13 18:38:34.176570,-9.82,-0.73,0.35
2023-04-13 18:38:34.277570,-9.83,-0.71,0.33
2023-04-13 18:38:34.379570,-9.81,-0.7,0.36
2023-04-13 18:38:34.480570,-9.83,-0.69,0.37
2023-04-13 18:38:34.580570,-9.81,-0.69,0.32
2023-04-13 18:38:34.681570,-9.83,-0.71,0.33
2023-04-13 18:38:34.782570,-9.82,-0.69,0.32
2023-04-13 18:38:34.883570,-9.8,-0.74,0.28
2023-04-13 18:38:34.984570,-9.81,-0.77,0.29
2023-04-13 18:38:35.085570,-9.82,-0.7,0.33
2023-04-13 18:38:35.186570,-9.86,-0.67,0.35
2023-04-13 18:38:35.286570,-9.82,-0.72,0.31
2023-04-13 18:38:35.387570,-9.83,-0.68,0.32
2023-04-13 18:38:35.489570,-9.79,-0.74,0.32
2023-04-13 18:38:35.590570,-9.77,-0.7,0.31
2023-04-13 18:38:35.690570,-9.84,-0.71,0.33
2023-04-13 18:38:35.791570,-9.83,-0.81,0.29
2023-04-13 18:38:35.892570,-9.82,-0.74,0.33
2023-04-13 18:38:35.992570,-9.79,-0.76,0.35
2023-04-13 18:38:36.092569,-9.82,-0.77,0.32
2023-04-13 18:38:36.193570,-9.85,-0.75,0.31
2023-04-13 18:38:36.294570,-9.81,-0.77,0.36
2023-04-13 18:38:36.395570,-9.8,-0.73,0.34
2023-04-13 18:38:36.496570,-10.08,-0.79,0.41
2023-04-13 18:38:36.596570,-9.77,-0.79,0.37
2023-04-13 18:38:36.697570,-9.82,-0.78,0.31
2023-04-13 18:38:36.798570,-9.76,-0.86,0.42
2023-04-13 18:38:36.899570,-9.79,-0.82,0.3
2023-04-13 18:38:37.000570,-9.78,-0.79,0.35
2023-04-13 18:38:37.101570,-9.81,-0.77,0.39
2023-04-13 18:38:37.201570,-9.81,-0.77,0.33
2023-04-13 18:38:37.302570,-9.77,-0.8,0.39
2023-04-13 18:38:37.403570,-9.84,-0.78,0.37
2023-04-13 18:38:37.503570,-9.8,-0.79,0.36
2023-04-13 18:38:37.604570,-9.8,-0.82,0.33
2023-04-13 18:38:37.704570,-9.8,-0.74,0.35
2023-04-13 18:38:37.805570,-9.81,-0.78,0.34
2023-04-13 18:38:37.906570,-9.8,-0.79,0.31
2023-04-13 18:38:38.008570,-9.82,-0.82,0.34
2023-04-13 18:38:38.109570,-9.82,-0.79,0.35
2023-04-13 18:38:38.209570,-9.8,-0.77,0.34
2023-04-13 18:38:38.310570,-9.8,-0.78,0.37
2023-04-13 18:38:38.410570,-9.78,-0.79,0.35
2023-04-13 18:38:38.511570,-9.78,-0.82,0.36
2023-04-13 18:38:38.612570,-9.8,-0.75,0.39
2023-04-13 18:38:38.712570,-9.82,-0.73,0.36
2023-04-13 18:38:38.813570,-9.78,-0.76,0.36
2023-04-13 18:38:38.914570,-9.79,-0.77,0.36
2023-04-13 18:38:39.015570,-9.79,-0.74,0.38
2023-04-13 18:38:39.115569,-9.77,-0.69,0.36
2023-04-13 18:38:39.217569,-9.8,-0.74,0.38
2023-04-13 18:38:39.317569,-9.81,-0.78,0.35
2023-04-13 18:38:39.418569,-9.8,-0.75,0.36
2023-04-13 18:38:39.519569,-9.81,-0.72,0.34
2023-04-13 18:38:39.620570,-9.82,-0.72,0.32
2023-04-13 18:38:39.720569,-9.8,-0.73,0.32
2023-04-13 18:38:39.820569,-9.83,-0.73,0.36
2023-04-13 18:38:39.921569,-9.82,-0.74,0.32
2023-04-13 18:38:40.022570,-9.79,-0.7,0.34
2023-04-13 18:38:40.123570,-9.81,-0.74,0.34
2023-04-13 18:38:40.223569,-9.81,-0.74,0.35
2023-04-13 18:38:40.323569,-9.8,-0.71,0.36
2023-04-13 18:38:40.424569,-9.8,-0.72,0.36
2023-04-13 18:38:40.524569,-9.79,-0.68,0.3
2023-04-13 18:38:40.626569,-9.78,-0.69,0.37
2023-04-13 18:38:40.726569,-9.8,-0.7,0.37
