ts,x,y,z
1679064937895881,-9.7,1.4,-0.59
1679064937996881,-9.7,1.44,-0.62
1679064938096881,-9.67,1.54,-0.54
1679064938197881,-9.66,1.5,-0.59
1679064938297881,-9.68,1.53,-0.58
1679064938398881,-9.66,1.55,-0.6
1679064938499881,-9.68,1.56,-0.57
1679064938600881,-9.67,1.53,-0.63
1679064938701882,-9.69,1.55,-0.65
1679064938802881,-9.66,1.57,-0.6
1679064938903881,-9.67,1.54,-0.63
1679064939004881,-9.65,1.55,-0.66
1679064939105881,-9.65,1.23,-0.59
1679064939206881,-9.65,1.5,-0.69
1679064939307881,-9.68,1.54,-0.68
1679064939407881,-9.64,1.56,-0.65
1679064939508881,-9.6,1.65,-0.58
1679064939609881,-9.67,1.68,-0.7
1679064939710881,-9.6,1.89,-0.72
1679064939810881,-9.67,2.01,-0.67
1679064939911881,-9.29,1.0,-0.46
1679064940012881,-9.73,2.44,-0.14
1679064940113881,-9.37,2.07,-0.7
1679064940214882,-9.41,2.17,-1.04
1679064940314881,-9.54,2.1,-1.36
1679064940415881,-9.45,2.19,-1.53
1679064940515881,-9.82,2.7,-1.11
1679064940616881,-9.59,1.95,-2.18
1679064940717882,-9.46,0.93,-3.02
1679064940818882,-9.42,1.46,-2.19
1679064940919882,-9.51,1.9,-1.93
1679064941020882,-8.97,2.3,-1.76
1679064941121882,-9.14,2.78,-1.66
1679064941222882,-9.34,1.87,-1.57
1679064941323882,-10.03,-2.52,-1.37
1679064941424882,-9.38,2.54,-6.46
1679064941525882,-9.12,3.28,-0.03
1679064941626882,-9.59,1.18,-1.21
1679064941727882,-9.64,0.79,-1.16
1679064941828882,-9.88,1.7,0.0
1679064941929882,-9.61,1.03,0.92
1679064942030882,-9.73,1.31,1.23
1679064942131881,-9.96,0.68,0.28
1679064942232881,-9.88,0.8,0.49
1679064942332881,-9.72,1.09,1.2
1679064942434881,-9.66,0.43,0.8
1679064942535881,-10.02,0.36,0.65
1679064942636881,-9.97,-0.45,0.36
1679064942737881,-10.02,-0.67,1.06
1679064942837881,-11.93,-0.26,-1.12
1679064942938881,-14.38,-1.18,-2.32
1679064943039881,-5.46,2.34,-1.12
1679064943140881,-7.49,-2.04,-0.72
1679064943241881,-11.65,-0.81,2.75
1679064943341881,-12.61,-0.08,2.73
1679064943443881,-11.91,-3.17,-3.11
1679064943544881,-9.59,-3.65,-0.15
1679064943644881,-12.31,0.93,-6.3
1679064943745881,-8.88,4.61,0.6
1679064943845881,-9.33,3.05,1.31
1679064943946881,-9.77,0.48,0.44
1679064944046881,-9.8,2.15,0.45
1679064944147881,-9.89,0.48,0.68
1679064944247881,-9.86,0.0,0.9
1679064944348881,-10.52,-0.13,0.47
1679064944448881,-13.98,1.15,-0.84
1679064944549881,-12.54,-1.58,-1.14
1679064944649881,-4.48,-1.38,-0.76
1679064944750881,-8.11,-2.86,-1.8
1679064944851881,-12.65,-3.61,-1.73
1679064944951881,-13.64,-0.65,-0.19
1679064945053881,-10.33,-4.49,-0.53
1679064945154881,-10.16,6.99,-8.82
1679064945253881,-10.61,-1.71,3.54
1679064945354881,-9.44,1.35,1.49
1679064945454881,-9.8,0.4,0.65
1679064945555881,-9.95,-1.03,0.5
1679064945656881,-10.01,-0.4,0.46
1679064945757881,-9.75,0.35,1.29
1679064945858881,-11.69,-1.14,0.56
1679064945959881,-14.19,1.18,-1.92
1679064946059881,-8.77,-2.53,0.89
1679064946159881,-4.16,-0.07,-2.6
1679064946260881,-10.18,-2.04,-2.59
1679064946360881,-12.78,-3.34,-1.66
1679064946461881,-11.32,-3.12,-0.89
1679064946562881,-10.39,2.5,2.23
1679064946663881,-10.35,-0.71,0.29
1679064946763881,-10.22,0.29,-1.4
1679064946864881,-9.68,1.08,0.38
1679064946965881,-9.74,0.8,0.76
1679064947065881,-9.57,0.01,0.57
1679064947166881,-9.98,0.09,0.47
1679064947267881,-9.73,-0.24,0.76
1679064947367881,-9.75,0.21,0.8
1679064947468881,-9.98,-0.32,0.94
1679064947568881,-10.73,-0.24,0.55
1679064947668881,-10.41,-1.84,-1.07
1679064947769881,-10.76,-3.79,-1.28
1679064947869881,-6.17,-5.51,0.65
1679064947970881,-5.46,-2.22,-2.51
1679064948072881,-8.03,-4.28,-2.85
1679064948173881,-10.46,-3.89,-0.58
1679064948274881,-14.91,-5.2,1.32
1679064948375881,-11.94,-3.1,-3.8
1679064948475881,-9.48,0.75,-0.48
1679064948575881,-9.72,0.44,-0.96
1679064948676881,-9.78,0.15,-0.66
1679064948777881,-9.7,0.66,-0.5
1679064948878881,-9.72,1.12,-0.42
1679064948978881,-9.53,1.53,-0.22
1679064949079881,-9.83,1.4,-0.17
1679064949182881,-9.83,1.26,-0.42
1679064949282881,-9.68,1.24,-0.32
1679064949383881,-9.79,1.01,-0.28
1679064949484881,-9.72,0.69,-0.33
1679064949585881,-9.77,0.74,-0.44
1679064949685881,-9.8,0.87,-0.3
1679064949786881,-9.74,0.66,-0.46
1679064949886881,-9.8,0.75,-0.36
1679064949987881,-9.72,0.71,-0.36
1679064950087881,-9.78,0.76,-0.4
1679064950188881,-9.74,0.63,-0.38
1679064950289881,-9.75,0.78,-0.39
1679064950391881,-9.84,0.79,-0.36
1679064950492881,-9.77,0.62,-0.34
1679064950593881,-9.78,0.76,-0.35
1679064950693881,-9.78,0.79,-0.33
1679064950794881,-9.76,0.74,-0.4
1679064950895881,-9.78,0.76,-0.35
1679064950996881,-9.81,0.74,-0.46
1679064951097881,-9.84,0.72,-0.42
1679064951198881,-9.74,0.67,-0.31
1679064951300881,-9.8,0.71,-0.38
1679064951401881,-9.75,0.7,-0.35
1679064951501881,-9.8,0.81,-0.38
1679064951602881,-9.79,0.69,-0.42
1679064951703881,-9.77,0.83,-0.39
1679064951804881,-9.78,0.85,-0.35
1679064951905882,-9.78,0.94,-0.33
1679064952006882,-9.75,0.93,-0.38
1679064952107881,-9.75,0.94,-0.33
1679064952207881,-9.73,1.05,-0.26
1679064952308881,-9.77,1.12,-0.39
1679064952409881,-9.75,1.17,-0.41
1679064952510881,-9.75,1.22,-0.33
1679064952611881,-9.72,1.24,-0.33
1679064952711881,-9.71,1.35,-0.34
1679064952812881,-9.76,1.21,-0.37
1679064952913881,-9.73,1.3,-0.43
1679064953014881,-9.73,1.23,-0.41
1679064953115881,-9.74,1.3,-0.46
1679064953216881,-9.66,1.3,-0.33
1679064953316881,-9.71,1.29,-0.41
1679064953417881,-9.74,1.28,-0.37
1679064953518881,-9.74,1.24,-0.36
1679064953620881,-9.72,1.26,-0.36
1679064953721881,-9.75,1.23,-0.33
1679064953821881,-9.75,1.27,-0.29
1679064953922881,-9.72,1.22,-0.33
1679064954023881,-9.76,1.24,-0.33
1679064954123881,-9.73,1.26,-0.3
1679064954224881,-9.74,1.25,-0.31
1679064954324881,-9.75,1.23,-0.29
1679064954424881,-9.75,1.18,-0.31
1679064954525881,-9.77,1.13,-0.35
1679064954626881,-9.75,1.16,-0.3
1679064954726881,-9.72,1.16,-0.27
1679064954827881,-9.74,1.15,-0.33
1679064954927881,-9.75,1.14,-0.34
1679064955029881,-9.75,1.19,-0.27
1679064955129881,-9.76,1.17,-0.32
1679064955230881,-9.72,1.16,-0.27
1679064955331881,-9.76,1.2,-0.28
1679064955432881,-9.75,1.19,-0.25
1679064955533881,-9.72,1.17,-0.3
1679064955634881,-9.73,1.19,-0.3
1679064955734881,-9.77,1.2,-0.34
1679064955835881,-9.77,1.15,-0.32
1679064955936881,-9.74,1.17,-0.33
1679064956037881,-9.73,1.19,-0.27
1679064956139881,-9.72,1.17,-0.3
1679064956239881,-9.73,1.16,-0.29
1679064956340881,-9.73,1.17,-0.27
1679064956441881,-9.73,1.18,-0.27
1679064956542881,-9.74,1.19,-0.22
1679064956643881,-9.74,1.22,-0.2
1679064956744881,-9.74,1.25,-0.24
1679064956845881,-9.75,1.24,-0.27
1679064956946881,-9.73,1.25,-0.22
1679064957046881,-9.71,1.29,-0.23
1679064957148881,-9.75,1.26,-0.22
1679064957249881,-9.75,1.2,-0.3
