ts,x,y,z
1679065856162881,-9.67,-0.04,1.91
1679065856263881,-9.65,-0.03,1.9
1679065856363881,-9.65,-0.05,1.94
1679065856462881,-9.66,-0.02,1.9
1679065856563881,-9.66,-0.04,1.91
1679065856665881,-9.68,-0.05,1.94
1679065856766881,-9.67,-0.06,1.88
1679065856867881,-9.64,0.0,1.93
1679065856967881,-9.66,-0.02,1.88
1679065857068881,-9.65,-0.06,1.9
1679065857168881,-9.67,-0.07,1.93
1679065857269881,-9.65,-0.05,1.92
1679065857370881,-9.66,-0.03,1.91
1679065857470881,-9.67,-0.03,1.89
1679065857570881,-9.65,-0.03,1.94
1679065857671881,-9.66,-0.02,1.93
1679065857772881,-9.66,-0.05,1.94
1679065857873881,-9.67,-0.08,1.92
1679065857974881,-9.66,-0.04,1.93
1679065858074881,-9.68,-0.03,1.93
1679065858175881,-9.65,-0.03,1.91
1679065858276881,-9.68,-0.06,1.92
1679065858377881,-9.67,-0.03,1.94
1679065858478881,-9.67,-0.04,1.94
1679065858579881,-9.66,-0.05,1.94
1679065858680881,-9.66,-0.07,1.9
1679065858781881,-9.65,-0.06,1.94
1679065858883881,-9.69,-0.07,1.92
1679065858984882,-9.66,-0.05,1.94
1679065859085882,-9.66,-0.08,1.93
1679065859186882,-9.68,-0.03,1.93
1679065859286882,-9.66,-0.02,1.92
1679065859387882,-9.67,-0.03,1.9
1679065859488882,-9.69,-0.03,1.92
1679065859588882,-9.67,-0.04,1.9
1679065859690881,-9.65,-0.05,1.93
1679065859789881,-9.65,-0.03,1.9
1679065859889881,-9.65,-0.02,1.92
1679065859990881,-9.67,-0.06,1.9
1679065860091881,-9.66,-0.05,1.91
1679065860194881,-9.68,-0.08,1.91
1679065860294881,-9.66,-0.04,1.95
1679065860395881,-9.64,-0.05,1.92
1679065860496881,-9.65,-0.04,1.92
1679065860597881,-9.62,-0.02,1.91
1679065860698881,-9.66,-0.03,1.91
1679065860799881,-9.65,-0.02,1.96
1679065860899881,-9.64,-0.05,1.91
1679065860999881,-9.65,-0.05,1.93
1679065861100881,-9.68,-0.05,1.94
1679065861201881,-9.67,-0.03,1.94
1679065861303881,-9.66,-0.03,1.93
1679065861403881,-9.65,-0.06,1.92
1679065861503881,-9.65,-0.05,1.91
1679065861604881,-9.68,-0.06,1.93
1679065861705881,-9.66,-0.05,1.96
1679065861805881,-9.69,-0.05,1.88
1679065861905881,-9.68,-0.03,1.91
1679065862006881,-9.66,-0.05,1.91
1679065862107881,-9.65,-0.02,1.93
1679065862207881,-9.66,-0.02,1.9
1679065862308881,-9.67,-0.05,1.92
1679065862409881,-9.67,-0.04,1.92
1679065862510881,-9.67,-0.04,1.9
1679065862611881,-9.66,-0.03,1.92
1679065862711881,-9.63,-0.04,1.93
1679065862813881,-9.65,-0.05,1.95
1679065862914881,-9.67,-0.05,1.96
1679065863014881,-9.66,-0.07,1.9
1679065863115881,-9.67,-0.04,1.94
1679065863216881,-9.62,-0.04,1.92
1679065863316881,-9.67,-0.06,1.92
1679065863417881,-9.64,-0.02,1.91
1679065863518881,-9.67,-0.03,1.92
1679065863619881,-9.69,-0.04,1.9
1679065863719881,-9.67,-0.04,1.94
1679065863819881,-9.65,-0.03,1.92
1679065863919881,-9.63,-0.07,1.93
1679065864020881,-9.67,-0.06,1.95
1679065864122881,-9.66,-0.02,1.95
1679065864223881,-9.66,-0.05,1.96
1679065864323881,-9.64,-0.03,1.94
1679065864423881,-9.67,-0.04,1.92
1679065864523881,-9.65,-0.04,1.91
1679065864624881,-9.67,-0.07,1.87
1679065864725881,-9.66,-0.05,1.95
1679065864825881,-9.65,-0.03,1.91
1679065864926881,-9.64,0.0,1.94
1679065865027881,-9.67,-0.05,1.92
1679065865128881,-9.67,-0.04,1.93
1679065865229881,-9.65,-0.05,1.97
1679065865331881,-9.63,-0.02,1.93
1679065865432881,-9.64,-0.04,1.93
1679065865532881,-9.64,-0.04,1.94
1679065865633881,-9.66,-0.02,1.93
1679065865733881,-9.66,-0.02,1.96
1679065865834881,-9.65,-0.06,1.93
1679065865935881,-9.7,-0.03,1.91
1679065866036881,-9.68,-0.02,1.92
1679065866136881,-9.67,-0.03,1.92
1679065866237881,-9.66,-0.03,1.93
1679065866337881,-9.64,-0.03,1.92
1679065866438881,-9.66,-0.06,1.95
1679065866539881,-9.64,-0.03,1.94
1679065866640881,-9.64,-0.01,1.91
1679065866740881,-9.65,-0.06,1.93
1679065866841881,-9.66,-0.03,1.93
1679065866941881,-9.68,-0.04,1.93
1679065867041881,-9.68,-0.05,1.92
1679065867142881,-9.65,-0.02,1.96
1679065867242881,-9.67,-0.02,1.92
1679065867343881,-9.63,-0.02,1.9
1679065867444881,-9.66,-0.02,1.89
1679065867544881,-9.66,-0.04,1.94
1679065867645881,-9.68,-0.04,1.91
1679065867746881,-9.66,-0.03,1.91
1679065867846881,-9.64,-0.03,1.9
1679065867947881,-9.65,-0.04,1.92
1679065868048881,-9.67,0.0,1.94
1679065868150881,-9.67,-0.03,1.94
1679065868251881,-9.68,-0.07,1.92
1679065868352881,-9.68,-0.03,1.89
1679065868452881,-9.68,-0.03,1.9
1679065868553881,-9.64,0.0,1.9
1679065868654881,-9.65,-0.04,1.94
1679065868753881,-9.66,0.0,1.93
1679065868854881,-9.65,-0.02,1.94
1679065868955881,-9.65,-0.03,1.93
1679065869055881,-9.66,-0.03,1.95
1679065869156881,-9.63,-0.05,1.91
1679065869257881,-9.63,-0.02,1.95
1679065869357881,-9.65,-0.05,1.9
1679065869459881,-9.68,-0.03,1.92
1679065869560881,-9.67,-0.03,1.91
1679065869661881,-9.68,-0.02,1.9
1679065869762881,-9.68,-0.04,1.93
1679065869862881,-9.67,-0.02,1.94
1679065869962881,-9.66,-0.02,1.93
