ts,red,ir,green
1680103798870608,116012.0,132297.0,10811.0
1680103798880608,115991.0,132352.0,10836.0
1680103798888608,115987.0,132333.0,10806.0
1680103798898608,116002.0,132329.0,10827.0
1680103798908608,115971.0,132374.0,10825.0
1680103798919608,116018.0,132372.0,10794.0
1680103798928608,116027.0,132359.0,10823.0
1680103798938608,116029.0,132408.0,10812.0
1680103798949607,116015.0,132402.0,10807.0
1680103798959607,116019.0,132423.0,10808.0
1680103798968608,116057.0,132436.0,10816.0
1680103798978608,116054.0,132408.0,10818.0
1680103798988608,116009.0,132448.0,10813.0
1680103798999607,116049.0,132474.0,10793.0
1680103799008607,116061.0,132451.0,10818.0
1680103799018607,116066.0,132438.0,10819.0
1680103799028608,116072.0,132440.0,10826.0
1680103799039608,116025.0,132472.0,10807.0
1680103799049608,116035.0,132485.0,10809.0
1680103799059608,116049.0,132457.0,10813.0
1680103799070608,116045.0,132438.0,10807.0
1680103799078607,115992.0,132449.0,10808.0
1680103799088607,116055.0,132430.0,10779.0
1680103799098607,116030.0,132410.0,10825.0
1680103799108607,116001.0,132427.0,10824.0
1680103799119607,116046.0,132398.0,10798.0
1680103799128607,116036.0,132359.0,10815.0
1680103799138607,116026.0,132401.0,10824.0
1680103799149607,115989.0,132383.0,10825.0
1680103799158607,116021.0,132411.0,10807.0
1680103799169607,116023.0,132346.0,10812.0
1680103799177607,116021.0,132402.0,10807.0
1680103799188607,115995.0,132383.0,10762.0
1680103799199607,115981.0,132403.0,10804.0
1680103799209608,116012.0,132409.0,10808.0
1680103799217608,116013.0,132371.0,10810.0
1680103799228608,116033.0,132368.0,10791.0
1680103799239607,116019.0,132347.0,10820.0
1680103799248607,116017.0,132399.0,10811.0
1680103799258607,116010.0,132390.0,10818.0
1680103799268607,116003.0,132371.0,10813.0
1680103799278607,115969.0,132386.0,10819.0
1680103799289607,116007.0,132357.0,10804.0
1680103799297607,115987.0,132332.0,10817.0
1680103799308607,115979.0,132339.0,10816.0
1680103799318607,115948.0,132299.0,10818.0
1680103799328607,115911.0,132198.0,10803.0
1680103799338607,115880.0,132182.0,10775.0
1680103799350607,115834.0,132160.0,10805.0
1680103799360607,115796.0,132053.0,10826.0
1680103799368607,115749.0,132045.0,10803.0
1680103799379607,115738.0,132006.0,10799.0
1680103799388608,115685.0,131955.0,10817.0
1680103799398608,115739.0,131990.0,10799.0
1680103799409608,115747.0,131997.0,10786.0
1680103799418608,115742.0,131987.0,10806.0
1680103799428608,115750.0,132006.0,10807.0
1680103799438608,115752.0,132043.0,10810.0
1680103799448608,115776.0,132062.0,10800.0
1680103799458608,115746.0,132082.0,10814.0
1680103799468608,115755.0,132096.0,10809.0
1680103799478608,115828.0,132104.0,10793.0
1680103799488608,115806.0,132084.0,10815.0
1680103799499607,115854.0,132154.0,10802.0
1680103799508607,115878.0,132181.0,10794.0
1680103799518607,115875.0,132146.0,10802.0
1680103799528607,115894.0,132204.0,10811.0
1680103799538607,115943.0,132231.0,10807.0
1680103799548607,115911.0,132239.0,10768.0
1680103799559607,115907.0,132238.0,10803.0
1680103799570608,115874.0,132255.0,10840.0
1680103799578607,115922.0,132234.0,10774.0
1680103799587607,115917.0,132236.0,10780.0
1680103799598607,115895.0,132210.0,10807.0
1680103799608607,115882.0,132224.0,10801.0
1680103799619607,115891.0,132188.0,10808.0
1680103799628607,115870.0,132167.0,10804.0
1680103799638607,115846.0,132138.0,10803.0
1680103799648607,115848.0,132141.0,10812.0
