ts,red,ir,green
1679343280569769,199012.0,231674.0,15930.0
1679343280580769,199036.0,231682.0,15906.0
1679343280589769,199065.0,231632.0,15940.0
1679343280599769,199091.0,231653.0,15936.0
1679343280609769,199120.0,231627.0,15946.0
1679343280620769,199123.0,231614.0,15960.0
1679343280630769,199107.0,231612.0,15960.0
1679343280639769,199118.0,231581.0,15964.0
1679343280649769,199139.0,231582.0,15959.0
1679343280660769,199205.0,231575.0,15934.0
1679343280670769,199214.0,231573.0,15954.0
1679343280679769,199248.0,231611.0,15962.0
1679343280690769,199246.0,231520.0,15979.0
1679343280700769,199254.0,231558.0,15969.0
1679343280709769,199265.0,231526.0,15981.0
1679343280719769,199297.0,231518.0,15957.0
1679343280730769,199296.0,231507.0,15973.0
1679343280740769,199305.0,231522.0,15981.0
1679343280750769,199295.0,231518.0,15979.0
1679343280759769,199298.0,231519.0,15980.0
1679343280771769,199310.0,231487.0,15986.0
1679343280779769,199306.0,231509.0,15975.0
1679343280790768,199284.0,231472.0,15976.0
1679343280799769,199272.0,231455.0,15981.0
1679343280810768,199261.0,231500.0,15974.0
1679343280819769,199253.0,231538.0,15971.0
1679343280830768,199251.0,231549.0,15973.0
1679343280839769,199240.0,231544.0,15951.0
1679343280849769,199213.0,231559.0,15958.0
1679343280859769,199181.0,231558.0,15973.0
1679343280871769,199178.0,231563.0,15959.0
1679343280880769,199164.0,231472.0,15947.0
1679343280889769,199122.0,231591.0,15961.0
1679343280899769,199153.0,231591.0,15940.0
1679343280910769,199118.0,231611.0,15943.0
1679343280920769,199078.0,231594.0,15942.0
1679343280929769,199098.0,231613.0,15933.0
1679343280939769,199077.0,231611.0,15930.0
1679343280950769,199042.0,231619.0,15942.0
1679343280960769,199037.0,231624.0,15932.0
1679343280969769,199030.0,231648.0,15926.0
1679343280979769,198992.0,231633.0,15928.0
1679343280990769,198989.0,231637.0,15892.0
1679343280999769,198975.0,231630.0,15903.0
1679343281009769,198932.0,231630.0,15888.0
1679343281019769,198860.0,231644.0,15895.0
1679343281030769,198826.0,231641.0,15862.0
1679343281039769,198850.0,231653.0,15875.0
1679343281049769,198816.0,231674.0,15855.0
1679343281059769,198792.0,231690.0,15881.0
1679343281070769,198774.0,231679.0,15881.0
1679343281079769,198820.0,231718.0,15870.0
1679343281089769,198851.0,231720.0,15847.0
1679343281099769,198862.0,231729.0,15873.0
1679343281110769,198853.0,231746.0,15888.0
1679343281119769,198864.0,231760.0,15883.0
1679343281130769,198869.0,231774.0,15884.0
1679343281139769,198883.0,231763.0,15893.0
1679343281150769,198898.0,231786.0,15895.0
1679343281159769,198904.0,231796.0,15892.0
1679343281170769,198921.0,231810.0,15885.0
1679343281179769,198937.0,231834.0,15890.0
1679343281189769,198897.0,231818.0,15876.0
1679343281199769,198905.0,231842.0,15907.0
1679343281210769,198918.0,231852.0,15911.0
1679343281219769,198919.0,231843.0,15906.0
1679343281229769,198943.0,231859.0,15898.0
1679343281239769,198969.0,231859.0,15895.0
1679343281250769,198948.0,231874.0,15911.0
1679343281259769,198986.0,231882.0,15906.0
1679343281269769,198990.0,231882.0,15899.0
1679343281279769,198961.0,231915.0,15903.0
1679343281290768,199006.0,231885.0,15907.0
1679343281299769,198999.0,231890.0,15904.0
1679343281309769,198989.0,231897.0,15892.0
1679343281319769,198974.0,231893.0,15902.0
1679343281330768,198954.0,231915.0,15902.0
1679343281339769,198963.0,231881.0,15896.0
1679343281349769,198937.0,231922.0,15898.0
1679343281359768,198920.0,231874.0,15893.0
1679343281370768,198934.0,231898.0,15881.0
1679343281379768,198942.0,231905.0,15876.0
1679343281389768,198933.0,231893.0,15851.0
1679343281399769,198918.0,231904.0,15876.0
1679343281410769,198849.0,231900.0,15876.0
1679343281419769,198864.0,231919.0,15873.0
1679343281429769,198844.0,231918.0,15867.0
1679343281439769,198823.0,231858.0,15856.0
1679343281450769,198801.0,231848.0,15856.0
1679343281460769,198783.0,231859.0,15846.0
1679343281469769,198749.0,231874.0,15844.0
1679343281479769,198729.0,231848.0,15839.0
1679343281490769,198697.0,231908.0,15835.0
1679343281499769,198674.0,231893.0,15827.0
1679343281509769,198629.0,231903.0,15834.0
1679343281519769,198576.0,231896.0,15834.0
1679343281530768,198609.0,231891.0,15822.0
1679343281539769,198558.0,231875.0,15833.0
1679343281549769,198542.0,231905.0,15832.0
1679343281559769,198555.0,231892.0,15812.0
1679343281570768,198549.0,231906.0,15809.0
1679343281579769,198515.0,231901.0,15809.0
1679343281589769,198471.0,231904.0,15800.0
1679343281599769,198476.0,231920.0,15792.0
1679343281609769,198445.0,231938.0,15803.0
1679343281619769,198439.0,231927.0,15804.0
1679343281630769,198437.0,231933.0,15785.0
1679343281639769,198401.0,231929.0,15783.0
1679343281649769,198393.0,231873.0,15772.0
1679343281659769,198339.0,231904.0,15760.0
1679343281670769,198295.0,231899.0,15767.0
1679343281679769,198258.0,231934.0,15757.0
1679343281689769,198214.0,231919.0,15755.0
1679343281699769,198155.0,231911.0,15743.0
1679343281710769,198136.0,231946.0,15728.0
1679343281719769,198091.0,231936.0,15728.0
1679343281729769,198044.0,231951.0,15729.0
1679343281739769,198058.0,231960.0,15710.0
1679343281750769,198015.0,231959.0,15705.0
1679343281759769,197951.0,231953.0,15706.0
1679343281769769,197965.0,231957.0,15704.0
1679343281779769,197933.0,231933.0,15690.0
1679343281790769,197930.0,231988.0,15685.0
1679343281799769,197902.0,231992.0,15685.0
1679343281809769,197881.0,231999.0,15688.0
1679343281819769,197886.0,232042.0,15683.0
1679343281830769,197871.0,232014.0,15685.0
1679343281839769,197857.0,231996.0,15676.0
1679343281849769,197861.0,231980.0,15661.0
1679343281859769,197845.0,231999.0,15664.0
1679343281870769,197824.0,232049.0,15670.0
1679343281879769,197810.0,232097.0,15661.0
1679343281889769,197809.0,232109.0,15656.0
1679343281899769,197736.0,232138.0,15654.0
1679343281909769,197706.0,232130.0,15657.0
1679343281919769,197675.0,232145.0,15652.0
1679343281929769,197698.0,232148.0,15629.0
1679343281939769,197701.0,232166.0,15604.0
1679343281949769,197680.0,232187.0,15603.0
1679343281959769,197598.0,232206.0,15631.0
1679343281969769,197602.0,232209.0,15631.0
1679343281979769,197586.0,232212.0,15623.0
1679343281989769,197576.0,232245.0,15617.0
1679343281999769,197596.0,232245.0,15618.0
1679343282009769,197543.0,232264.0,15625.0
1679343282019769,197517.0,232269.0,15612.0
1679343282029769,197524.0,232284.0,15618.0
1679343282039769,197528.0,232282.0,15593.0
1679343282049769,197548.0,232331.0,15570.0
1679343282058769,197547.0,232339.0,15581.0
1679343282069769,197510.0,232363.0,15568.0
1679343282080768,197530.0,232375.0,15582.0
1679343282089769,197538.0,232404.0,15591.0
1679343282099769,197502.0,232394.0,15588.0
1679343282109768,197491.0,232413.0,15586.0
1679343282120769,197455.0,232413.0,15587.0
1679343282130769,197440.0,232406.0,15571.0
1679343282138769,197433.0,232418.0,15563.0
1679343282149768,197414.0,232415.0,15554.0
1679343282159768,197371.0,232431.0,15534.0
1679343282170768,197364.0,232419.0,15522.0
1679343282180768,197335.0,232421.0,15543.0
1679343282189768,197268.0,232450.0,15598.0
1679343282199768,197293.0,232425.0,15515.0
1679343282209768,197281.0,232442.0,15530.0
1679343282219768,197252.0,232434.0,15542.0
1679343282229768,197229.0,232428.0,15548.0
1679343282240768,197194.0,232433.0,15541.0
1679343282249768,197193.0,232446.0,15533.0
1679343282259768,197179.0,232438.0,15539.0
1679343282269768,197180.0,232393.0,15540.0
1679343282281768,197177.0,232440.0,15534.0
1679343282289768,197161.0,232427.0,15527.0
1679343282299769,197157.0,232437.0,15538.0
1679343282309769,197152.0,232422.0,15546.0
1679343282319769,197162.0,232376.0,15544.0
1679343282329769,197142.0,232351.0,15528.0
1679343282339769,197116.0,232361.0,15521.0
1679343282349769,197125.0,232357.0,15541.0
1679343282359769,197115.0,232395.0,15530.0
1679343282369769,197125.0,232339.0,15526.0
1679343282381769,197119.0,232335.0,15521.0
1679343282388769,197134.0,232316.0,15522.0
1679343282399769,197160.0,232381.0,15546.0
1679343282409769,197193.0,232399.0,15529.0
1679343282420769,197223.0,232394.0,15538.0
1679343282428768,197247.0,232380.0,15545.0
1679343282439768,197257.0,232383.0,15562.0
1679343282449768,197284.0,232388.0,15566.0
1679343282460768,197357.0,232392.0,15559.0
1679343282468768,197340.0,232362.0,15583.0
1679343282479769,197377.0,232354.0,15588.0
1679343282489769,197443.0,232357.0,15584.0
1679343282500769,197492.0,232346.0,15597.0
1679343282508768,197494.0,232353.0,15610.0
1679343282519768,197557.0,232361.0,15607.0
1679343282529768,197574.0,232348.0,15614.0
1679343282539768,197583.0,232347.0,15625.0
1679343282548768,197645.0,232340.0,15616.0
1679343282559768,197666.0,232344.0,15627.0
1679343282569768,197641.0,232310.0,15635.0
1679343282579768,197696.0,232354.0,15624.0
1679343282588768,197688.0,232310.0,15635.0
1679343282599768,197742.0,232292.0,15604.0
1679343282609768,197698.0,232283.0,15641.0
1679343282619768,197748.0,232281.0,15610.0
1679343282629768,197724.0,232285.0,15605.0
1679343282639768,197745.0,232271.0,15597.0
1679343282648768,197746.0,232254.0,15624.0
1679343282659769,197755.0,232240.0,15627.0
1679343282669769,197755.0,232216.0,15609.0
1679343282679769,197706.0,232206.0,15638.0
1679343282688769,197699.0,232208.0,15612.0
1679343282699769,197670.0,232177.0,15586.0
1679343282709769,197629.0,232167.0,15615.0
1679343282719769,197612.0,232160.0,15603.0
1679343282729769,197586.0,232138.0,15623.0
1679343282739769,197590.0,232154.0,15620.0
1679343282749769,197582.0,232144.0,15622.0
1679343282759769,197597.0,232149.0,15619.0
1679343282768769,197609.0,232174.0,15618.0
1679343282779769,197605.0,232150.0,15617.0
1679343282789769,197630.0,232059.0,15642.0
1679343282799769,197597.0,232111.0,15636.0
1679343282808769,197610.0,232104.0,15635.0
1679343282819769,197652.0,232099.0,15643.0
1679343282829769,197670.0,232108.0,15626.0
1679343282839769,197735.0,232084.0,15605.0
1679343282848769,197696.0,232080.0,15655.0
1679343282859769,197771.0,232122.0,15663.0
1679343282869769,197783.0,232093.0,15663.0
1679343282880769,197807.0,232034.0,15670.0
1679343282888769,197810.0,232011.0,15661.0
1679343282899768,197831.0,232102.0,15661.0
1679343282909768,197834.0,232044.0,15669.0
1679343282920768,197848.0,232077.0,15671.0
1679343282928768,197852.0,232089.0,15670.0
1679343282939768,197871.0,232045.0,15662.0
1679343282949768,197869.0,232022.0,15664.0
1679343282960768,197869.0,232061.0,15690.0
1679343282968768,197878.0,231981.0,15690.0
1679343282979768,197884.0,232006.0,15671.0
1679343282989768,197871.0,231990.0,15672.0
1679343282999768,197866.0,232034.0,15664.0
1679343283008768,197867.0,232018.0,15665.0
1679343283019769,197808.0,231998.0,15658.0
1679343283029769,197780.0,231969.0,15666.0
1679343283039769,197815.0,231961.0,15673.0
1679343283048769,197808.0,231952.0,15671.0
1679343283059769,197830.0,231885.0,15673.0
1679343283069769,197852.0,231875.0,15673.0
1679343283079769,197878.0,231915.0,15667.0
1679343283088769,197919.0,231880.0,15689.0
1679343283099769,197973.0,231923.0,15683.0
1679343283108769,198014.0,231930.0,15701.0
1679343283119769,198036.0,231925.0,15700.0
1679343283129769,198048.0,231943.0,15728.0
1679343283139769,198072.0,231907.0,15733.0
1679343283148769,198155.0,231898.0,15739.0
1679343283159769,198180.0,231900.0,15731.0
1679343283169769,198226.0,231904.0,15743.0
1679343283179769,198267.0,231904.0,15756.0
1679343283189769,198256.0,231884.0,15753.0
1679343283199769,198275.0,231896.0,15755.0
1679343283209769,198300.0,231846.0,15772.0
1679343283219769,198367.0,231841.0,15786.0
1679343283228769,198392.0,231815.0,15774.0
1679343283239769,198415.0,231763.0,15776.0
1679343283249769,198417.0,231793.0,15772.0
1679343283259769,198413.0,231806.0,15782.0
1679343283268769,198439.0,231766.0,15777.0
1679343283279769,198426.0,231766.0,15784.0
1679343283290768,198449.0,231753.0,15784.0
1679343283299769,198431.0,231751.0,15772.0
1679343283308769,198440.0,231723.0,15786.0
1679343283319769,198435.0,231758.0,15780.0
1679343283329769,198431.0,231735.0,15788.0
1679343283338769,198443.0,231776.0,15777.0
1679343283348769,198437.0,231770.0,15778.0
1679343283359768,198430.0,231701.0,15782.0
1679343283369768,198427.0,231729.0,15779.0
1679343283380769,198422.0,231751.0,15781.0
1679343283388769,198419.0,231691.0,15774.0
1679343283399768,198427.0,231734.0,15784.0
1679343283409768,198394.0,231702.0,15765.0
1679343283419768,198403.0,231708.0,15775.0
