ts,x,y,z
1679518670845465,-9.74,1.23,-0.02
1679518670945465,-9.72,1.28,-0.04
1679518671047465,-9.75,1.27,-0.05
1679518671147465,-9.75,1.29,-0.08
1679518671248465,-9.73,1.29,-0.06
1679518671349465,-9.77,1.29,-0.1
1679518671450465,-9.75,1.28,-0.08
1679518671550465,-9.73,1.28,-0.05
1679518671651465,-9.74,1.27,-0.04
1679518671751465,-9.73,1.27,-0.09
1679518671852465,-9.73,1.27,-0.1
1679518671953465,-9.76,1.26,-0.12
1679518672054465,-9.72,1.3,-0.02
1679518672155465,-9.78,1.25,-0.09
1679518672256465,-9.75,1.33,-0.07
1679518672356465,-9.77,1.32,-0.1
1679518672457465,-9.75,1.26,-0.09
1679518672558465,-9.7,1.3,0.06
1679518672658465,-9.77,1.25,-0.01
1679518672759465,-9.83,1.24,-0.06
1679518672860465,-9.83,1.27,-0.02
1679518672961465,-10.24,2.29,-1.97
1679518673062465,-10.27,3.26,-0.98
1679518673162465,-9.93,1.3,0.0
1679518673262465,-8.59,1.52,0.13
1679518673362465,-8.03,1.72,-3.38
1679518673463465,-9.72,4.83,-0.82
1679518673564465,-9.94,4.33,-0.57
1679518673665465,-9.28,1.35,-3.75
1679518673767465,-10.31,1.75,0.4
1679518673868465,-8.47,2.53,-2.34
1679518673968465,-9.67,6.35,-1.93
1679518674069465,-9.9,3.88,-1.96
1679518674170465,-9.14,-1.16,-1.81
1679518674271465,-9.03,1.02,-2.81
1679518674371465,-9.51,2.42,-1.6
1679518674471464,-10.06,4.24,0.47
1679518674572465,-9.28,3.6,-1.65
1679518674673465,-9.72,2.57,-1.51
1679518674774465,-8.41,-0.18,-4.22
1679518674875465,-10.04,2.43,-0.03
1679518674976465,-10.31,3.56,1.95
1679518675076465,-9.37,1.42,-2.21
1679518675176465,-9.32,4.99,-3.09
1679518675277465,-10.18,2.0,-1.46
1679518675378465,-9.33,-1.95,-1.87
1679518675479465,-8.84,1.14,-0.67
1679518675580465,-10.55,4.99,2.17
1679518675681465,-10.49,2.4,-1.9
1679518675782465,-8.96,3.95,-3.26
1679518675883465,-9.32,1.2,-1.75
1679518675984465,-9.93,0.4,1.63
1679518676085465,-9.13,0.59,-1.69
1679518676186465,-9.71,8.18,-0.71
1679518676287465,-10.1,2.89,-1.24
1679518676388466,-8.83,-1.08,-2.29
1679518676489466,-9.67,1.17,0.06
1679518676590466,-9.96,2.41,-0.83
1679518676691466,-9.48,2.31,-4.06
1679518676792466,-10.19,4.85,0.24
1679518676892466,-9.0,0.63,-0.89
1679518676992466,-9.52,0.11,-1.48
1679518677093466,-10.46,0.12,-0.53
1679518677194466,-9.5,1.52,-1.38
1679518677295466,-8.72,1.85,-1.78
1679518677395466,-11.3,-0.15,0.41
1679518677495466,-9.75,-0.73,-0.34
1679518677595466,-9.85,0.35,-0.15
1679518677697465,-9.96,0.53,-0.2
1679518677797464,-10.06,0.22,-0.36
1679518677898465,-9.88,0.37,-0.19
1679518677998464,-9.87,0.35,-0.34
1679518678099465,-9.89,0.42,-0.31
1679518678200465,-9.9,0.37,-0.24
1679518678301465,-9.86,0.37,-0.27
1679518678402465,-9.83,0.37,-0.22
1679518678502465,-9.85,0.31,-0.23
1679518678603465,-9.86,0.42,-0.25
1679518678704465,-9.85,0.38,-0.24
1679518678805465,-9.83,0.34,-0.26
1679518678906465,-9.82,0.39,-0.22
1679518679007465,-9.84,0.44,-0.21
1679518679108465,-9.88,0.4,-0.28
1679518679209465,-9.84,0.38,-0.21
1679518679309465,-9.86,0.41,-0.22
1679518679410465,-9.81,0.39,-0.24
1679518679511465,-9.83,0.36,-0.26
1679518679612465,-9.8,0.42,-0.25
1679518679713465,-9.83,0.43,-0.24
1679518679814465,-9.84,0.42,-0.25
1679518679915465,-9.82,0.39,-0.24
1679518680015465,-9.81,0.36,-0.23
1679518680116465,-9.84,0.38,-0.26
1679518680216465,-9.83,0.38,-0.22
1679518680317465,-9.82,0.45,-0.24
1679518680418465,-9.83,0.39,-0.2
1679518680518465,-9.83,0.38,-0.23
1679518680619465,-9.83,0.44,-0.26
1679518680720466,-9.82,0.45,-0.23
1679518680820465,-9.82,0.45,-0.2
1679518680921465,-9.82,0.42,-0.21
1679518681022465,-9.8,0.41,-0.24
1679518681122465,-9.85,0.38,-0.27
1679518681223465,-9.83,0.41,-0.26
1679518681324465,-9.83,0.4,-0.29
1679518681426465,-9.82,0.46,-0.2
1679518681527465,-9.82,0.42,-0.24
1679518681628465,-9.81,0.38,-0.23
1679518681729465,-9.83,0.4,-0.21
1679518681830465,-9.82,0.42,-0.26
1679518681931465,-9.83,0.39,-0.26
1679518682032465,-9.83,0.39,-0.26
1679518682133465,-9.82,0.39,-0.25
1679518682235465,-9.81,0.42,-0.23
1679518682336465,-9.8,0.37,-0.27
1679518682437465,-9.82,0.45,-0.25
1679518682538465,-9.88,0.4,-0.23
1679518682639465,-9.83,0.4,-0.18
1679518682740466,-9.82,0.4,-0.2
1679518682840465,-9.81,0.41,-0.21
1679518682941465,-9.81,0.42,-0.19
1679518683041465,-9.84,0.38,-0.24
1679518683142465,-9.83,0.41,-0.23
1679518683242465,-9.84,0.43,-0.22
1679518683343465,-9.83,0.43,-0.21
1679518683445465,-9.83,0.42,-0.25
1679518683546465,-9.83,0.44,-0.21
1679518683647466,-9.81,0.4,-0.2
1679518683748466,-9.85,0.4,-0.22
1679518683849466,-9.83,0.41,-0.19
1679518683950466,-9.83,0.42,-0.22
1679518684051466,-9.83,0.38,-0.2
1679518684152466,-9.83,0.45,-0.21
1679518684253466,-9.83,0.42,-0.17
1679518684354465,-9.82,0.43,-0.21
1679518684455465,-9.86,0.39,-0.25
1679518684556465,-9.81,0.42,-0.16
1679518684657465,-9.8,0.43,-0.19
1679518684758465,-9.82,0.4,-0.23
1679518684858465,-9.82,0.44,-0.18
1679518684959465,-9.82,0.43,-0.19
1679518685060465,-9.85,0.39,-0.22
1679518685161465,-9.85,0.37,-0.18
1679518685262465,-9.81,0.39,-0.18
1679518685363465,-9.82,0.4,-0.22
1679518685464465,-9.82,0.44,-0.21
1679518685565465,-9.85,0.41,-0.23
1679518685665465,-9.85,0.39,-0.2
1679518685766465,-9.83,0.37,-0.21
1679518685866465,-9.82,0.42,-0.17
1679518685966465,-9.82,0.37,-0.25
1679518686067465,-9.85,0.39,-0.26
1679518686168465,-9.84,0.42,-0.19
1679518686269465,-9.82,0.42,-0.18
1679518686369465,-9.82,0.45,-0.22
1679518686470465,-9.85,0.4,-0.24
1679518686570465,-9.79,0.42,-0.18
1679518686671465,-9.83,0.43,-0.22
1679518686771465,-9.83,0.38,-0.25
1679518686872465,-9.83,0.39,-0.27
1679518686972465,-9.84,0.39,-0.2
1679518687073465,-9.84,0.41,-0.26
1679518687174465,-9.84,0.43,-0.21
1679518687274465,-9.84,0.44,-0.28
1679518687374465,-9.83,0.42,-0.26
1679518687474465,-9.84,0.38,-0.22
1679518687575465,-9.85,0.4,-0.23
1679518687676465,-9.84,0.38,-0.23
1679518687776465,-9.85,0.37,-0.24
1679518687877465,-9.83,0.37,-0.22
1679518687978465,-9.83,0.37,-0.2
1679518688078465,-9.82,0.38,-0.22
1679518688178465,-9.83,0.36,-0.22
1679518688279465,-9.84,0.41,-0.22
1679518688379464,-9.82,0.39,-0.23
1679518688480465,-9.83,0.44,-0.22
1679518688580464,-9.83,0.4,-0.23
1679518688680464,-9.83,0.42,-0.22
1679518688781464,-9.83,0.4,-0.2
1679518688882465,-9.82,0.42,-0.25
1679518688983465,-9.85,0.41,-0.21
1679518689084465,-9.83,0.42,-0.18
1679518689185465,-9.85,0.49,-0.22
1679518689286465,-9.83,0.4,-0.21
1679518689386465,-9.82,0.53,-0.13
1679518689487465,-9.91,0.37,-0.13
1679518689588465,-10.05,0.81,0.06
1679518689688465,-10.2,1.18,0.19
1679518689789465,-8.95,3.7,-0.72
1679518689889465,-9.69,2.48,0.04
1679518689989465,-9.17,0.26,0.5
1679518690090465,-8.88,1.23,0.32
1679518690191465,-8.62,1.32,0.89
1679518690290465,-9.72,3.34,0.45
1679518690391465,-9.18,3.63,1.15
1679518690492465,-9.12,3.36,1.22
1679518690594465,-9.23,3.27,1.14
1679518690694465,-9.39,2.91,1.14
1679518690795465,-9.32,3.4,1.02
1679518690896465,-9.12,3.51,1.2
1679518690996465,-9.99,4.19,1.13
1679518691097465,-9.16,3.41,1.31
1679518691198465,-9.28,3.26,0.89
1679518691298465,-9.29,3.43,1.09
1679518691398465,-9.18,3.48,1.14
1679518691498464,-9.27,3.02,1.17
1679518691599465,-9.26,3.3,1.07
1679518691699464,-9.16,3.43,1.13
1679518691800464,-9.37,3.07,1.15
1679518691901465,-9.09,3.52,1.16
1679518692003465,-9.08,3.51,1.19
1679518692103464,-9.15,3.33,1.18
1679518692204465,-9.24,3.35,1.19
1679518692305465,-8.98,3.5,1.21
1679518692405465,-9.29,3.34,1.3
1679518692506465,-9.39,3.28,1.26
1679518692607465,-9.36,3.02,1.33
1679518692706465,-9.17,3.14,1.2
1679518692807465,-9.06,2.95,1.28
1679518692908465,-9.21,2.95,1.14
1679518693009465,-9.18,3.29,1.23
1679518693110465,-9.17,3.3,1.33
1679518693210465,-9.57,3.07,1.16
1679518693311465,-9.11,3.34,1.17
1679518693412465,-9.27,3.2,1.07
1679518693513465,-9.29,3.3,1.12
1679518693614465,-9.16,3.29,1.2
1679518693715465,-9.61,3.14,0.96
1679518693815465,-9.39,3.0,0.97
1679518693915465,-9.14,3.36,1.38
1679518694016465,-9.07,3.39,0.85
1679518694117465,-9.28,3.45,0.78
1679518694217465,-9.22,3.33,1.0
1679518694318465,-9.11,3.48,1.08
1679518694419465,-9.08,3.7,1.04
1679518694520465,-9.41,3.26,0.58
1679518694621465,-9.75,2.79,0.32
1679518694723465,-9.4,3.91,0.74
1679518694824465,-9.62,3.0,0.15
1679518694925465,-9.47,2.78,0.08
1679518695025465,-9.12,3.35,-0.42
1679518695126465,-8.45,2.72,-0.37
1679518695227465,-9.27,1.04,-0.2
1679518695328465,-10.53,4.07,-0.46
1679518695429465,-9.79,2.47,-0.18
1679518695529465,-9.68,1.79,-0.36
1679518695630465,-9.71,1.54,-0.53
1679518695731465,-9.74,1.41,-0.62
1679518695831465,-9.65,1.61,-0.45
1679518695933465,-9.75,1.41,-0.56
1679518696033465,-9.69,1.5,-0.51
1679518696133465,-9.67,1.45,-0.5
1679518696234465,-9.71,1.52,-0.48
1679518696334465,-9.69,1.47,-0.39
1679518696434465,-9.72,1.51,-0.49
1679518696535465,-9.72,1.51,-0.46
1679518696635465,-9.7,1.61,-0.47
1679518696736465,-9.69,1.56,-0.39
1679518696837465,-9.76,1.59,-0.47
1679518696938465,-9.73,1.55,-0.38
