ts,x,y,z
1679064194996881,-9.46,1.68,-1.79
1679064195096881,-9.47,1.69,-1.82
1679064195197881,-9.48,1.76,-1.81
1679064195298881,-9.46,1.75,-1.79
1679064195399881,-9.46,1.69,-1.81
1679064195500881,-9.47,1.62,-1.77
1679064195600881,-9.47,1.63,-1.79
1679064195701881,-9.46,1.72,-1.76
1679064195802881,-9.47,1.71,-1.75
1679064195903881,-9.47,1.71,-1.81
1679064196003881,-9.47,1.73,-1.79
1679064196103881,-9.46,1.71,-1.77
1679064196203881,-9.45,1.68,-1.81
1679064196304881,-9.5,1.72,-1.79
1679064196404881,-9.45,1.69,-1.78
1679064196504881,-9.47,1.69,-1.8
1679064196605881,-9.45,1.72,-1.8
1679064196705881,-9.44,1.72,-1.77
1679064196806881,-9.48,1.7,-1.78
1679064196907881,-9.46,1.72,-1.79
1679064197008881,-9.47,1.69,-1.81
1679064197109881,-9.48,1.71,-1.78
1679064197209881,-9.46,1.67,-1.78
1679064197311881,-9.46,1.69,-1.76
1679064197412881,-9.46,1.69,-1.8
1679064197513881,-9.47,1.72,-1.81
1679064197613881,-9.46,1.71,-1.8
1679064197713881,-9.45,1.71,-1.78
1679064197814881,-9.45,1.71,-1.82
1679064197915881,-9.44,1.72,-1.79
1679064198016881,-9.48,1.72,-1.81
1679064198116881,-9.45,1.71,-1.81
1679064198217881,-9.48,1.72,-1.81
1679064198318881,-9.44,1.69,-1.77
1679064198418881,-9.47,1.69,-1.76
1679064198519881,-9.45,1.67,-1.78
1679064198620881,-9.45,1.71,-1.78
1679064198722881,-9.45,1.66,-1.75
1679064198822881,-9.45,1.68,-1.78
1679064198923881,-9.45,1.68,-1.83
1679064199023881,-9.48,1.71,-1.8
1679064199124881,-9.47,1.69,-1.77
1679064199225881,-9.47,1.68,-1.78
1679064199326881,-9.47,1.68,-1.81
1679064199427881,-9.47,1.73,-1.79
1679064199528881,-9.46,1.73,-1.79
1679064199628881,-9.46,1.72,-1.82
1679064199729881,-9.45,1.73,-1.81
1679064199829881,-9.46,1.69,-1.84
1679064199930881,-9.48,1.68,-1.81
1679064200031881,-9.46,1.74,-1.77
1679064200131881,-9.47,1.72,-1.83
1679064200232881,-9.44,1.72,-1.75
1679064200332881,-9.47,1.67,-1.78
1679064200433881,-9.42,1.7,-1.76
1679064200534881,-9.43,1.69,-1.8
1679064200635881,-9.45,1.68,-1.73
1679064200736881,-9.47,1.64,-1.78
1679064200836881,-9.44,1.71,-1.79
1679064200937881,-9.44,1.7,-1.81
1679064201037881,-9.43,1.71,-1.82
1679064201138881,-9.46,1.73,-1.82
1679064201240881,-9.46,1.73,-1.91
1679064201341881,-9.45,1.7,-1.85
1679064201442881,-9.42,1.74,-1.78
1679064201543881,-9.45,1.74,-1.87
1679064201644881,-9.46,1.68,-1.8
1679064201745881,-9.43,1.75,-1.77
1679064201845881,-9.47,1.75,-1.81
1679064201946881,-9.48,1.77,-1.84
1679064202047881,-9.42,1.76,-1.78
1679064202147881,-9.4,1.64,-1.77
1679064202247881,-9.48,1.7,-1.86
1679064202348881,-9.43,1.74,-1.79
1679064202450881,-9.45,1.69,-1.76
1679064202551881,-9.47,1.66,-1.8
1679064202652881,-9.47,1.64,-1.78
1679064202752881,-9.44,1.67,-1.85
1679064202853881,-9.45,1.7,-1.79
1679064202954881,-9.44,1.69,-1.77
1679064203055881,-9.47,1.72,-1.83
1679064203154881,-9.45,1.68,-1.78
1679064203254881,-9.46,1.73,-1.82
1679064203355881,-9.47,1.74,-1.79
1679064203456881,-9.47,1.73,-1.84
1679064203557881,-9.47,1.69,-1.84
1679064203658882,-9.46,1.71,-1.81
1679064203759882,-9.47,1.73,-1.83
1679064203859882,-9.45,1.74,-1.84
1679064203960882,-9.45,1.71,-1.84
1679064204061882,-9.43,1.73,-1.84
1679064204161881,-9.46,1.73,-1.84
1679064204262881,-9.46,1.71,-1.81
1679064204363881,-9.46,1.71,-1.81
1679064204463881,-9.48,1.71,-1.85
1679064204564881,-9.46,1.73,-1.83
