ts,red,ir,green
1680726357535068,129366.0,160045.0,11014.0
1680726357545069,129387.0,160059.0,10993.0
1680726357556069,129396.0,160023.0,11032.0
1680726357566069,129410.0,160033.0,11032.0
1680726357575069,129404.0,160087.0,11032.0
1680726357585069,129397.0,160096.0,11045.0
1680726357596068,129473.0,160077.0,11028.0
1680726357606068,129510.0,160067.0,11064.0
1680726357615069,129510.0,160081.0,11046.0
1680726357625069,129559.0,160156.0,11054.0
1680726357636068,129562.0,160147.0,11003.0
1680726357646068,129570.0,160103.0,11055.0
1680726357655068,129575.0,160171.0,11055.0
1680726357665068,129638.0,160189.0,11066.0
1680726357676068,129626.0,160192.0,11035.0
1680726357686068,129672.0,160202.0,11073.0
1680726357696068,129703.0,160251.0,11073.0
1680726357707068,129728.0,160194.0,11085.0
1680726357715068,129666.0,160120.0,11076.0
1680726357726069,129461.0,159992.0,11044.0
1680726357735069,129154.0,159782.0,10979.0
1680726357745069,128632.0,159518.0,10878.0
1680726357756069,127922.0,159100.0,10754.0
1680726357765069,127131.0,158628.0,10626.0
1680726357776069,126286.0,158192.0,10482.0
1680726357785069,125616.0,157820.0,10338.0
1680726357795069,125065.0,157529.0,10242.0
1680726357806069,124724.0,157394.0,10198.0
1680726357817068,124639.0,157406.0,10215.0
1680726357825068,124758.0,157497.0,10294.0
1680726357836068,124989.0,157687.0,10304.0
1680726357845068,125413.0,157931.0,10351.0
1680726357856068,125806.0,158133.0,10419.0
1680726357865068,126169.0,158452.0,10501.0
1680726357875068,126587.0,158641.0,10542.0
1680726357886068,126949.0,158850.0,10600.0
1680726357895068,127253.0,158997.0,10657.0
1680726357905069,127524.0,159230.0,10703.0
1680726357915069,127777.0,159339.0,10711.0
1680726357925069,128002.0,159432.0,10750.0
1680726357936069,128227.0,159615.0,10803.0
1680726357945069,128420.0,159774.0,10858.0
1680726357957069,128611.0,159840.0,10886.0
1680726357965069,128752.0,159909.0,10918.0
1680726357976069,128863.0,159976.0,10945.0
1680726357985069,128968.0,159999.0,10919.0
1680726357995069,128959.0,159984.0,10939.0
1680726358006069,128926.0,160013.0,10930.0
1680726358015069,128852.0,159964.0,10919.0
1680726358026069,128721.0,159885.0,10893.0
1680726358035069,128617.0,159819.0,10877.0
1680726358045069,128454.0,159696.0,10841.0
1680726358056069,128295.0,159674.0,10846.0
1680726358065069,128129.0,159532.0,10801.0
1680726358075069,128057.0,159536.0,10779.0
1680726358086069,127990.0,159492.0,10729.0
1680726358095069,127947.0,159484.0,10764.0
1680726358106069,127914.0,159484.0,10739.0
1680726358117069,127920.0,159539.0,10757.0
1680726358127069,127967.0,159486.0,10787.0
1680726358135069,128004.0,159534.0,10794.0
1680726358146068,128110.0,159574.0,10717.0
1680726358155068,128175.0,159643.0,10777.0
1680726358165068,128267.0,159708.0,10823.0
1680726358175068,128364.0,159777.0,10846.0
1680726358185068,128396.0,159818.0,10854.0
1680726358195068,128532.0,159850.0,10847.0
1680726358205068,128611.0,159866.0,10889.0
1680726358215068,128719.0,159982.0,10885.0
1680726358226068,128725.0,160026.0,10844.0
1680726358236068,128798.0,160041.0,10898.0
1680726358245068,128822.0,160045.0,10897.0
1680726358255068,128844.0,160112.0,10900.0
1680726358265069,128860.0,160110.0,10863.0
1680726358276069,128895.0,160130.0,10879.0
1680726358285069,128913.0,160143.0,10905.0
1680726358295069,128916.0,160131.0,10925.0
1680726358305069,128931.0,160162.0,10941.0
1680726358315069,128903.0,160169.0,10932.0
1680726358325069,128970.0,160196.0,10867.0
1680726358335069,128893.0,160191.0,10934.0
1680726358345069,128913.0,160159.0,10900.0
1680726358356068,128908.0,160184.0,10925.0
1680726358366068,128894.0,160185.0,10917.0
1680726358376068,128807.0,160105.0,10895.0
1680726358387068,128771.0,160141.0,10890.0
1680726358396068,128737.0,160143.0,10914.0
1680726358404068,128704.0,160118.0,10860.0
1680726358415068,128666.0,160093.0,10877.0
1680726358426068,128655.0,160094.0,10858.0
1680726358435068,128622.0,160069.0,10873.0
1680726358445069,128595.0,160090.0,10872.0
1680726358455069,128520.0,160115.0,10854.0
1680726358465069,128469.0,160088.0,10852.0
1680726358476069,128376.0,160090.0,10827.0
1680726358486069,128297.0,160109.0,10797.0
1680726358495069,128258.0,160049.0,10814.0
1680726358505069,128224.0,159993.0,10828.0
1680726358516069,128200.0,160054.0,10802.0
1680726358525069,128196.0,160086.0,10807.0
1680726358535069,128187.0,160085.0,10811.0
