ts,red,ir,green
1679518670755465,105621.0,145651.0,8821.0
1679518670765465,105604.0,145599.0,8835.0
1679518670775465,105595.0,145585.0,8825.0
1679518670786465,105610.0,145600.0,8821.0
1679518670795465,105576.0,145613.0,8827.0
1679518670806465,105620.0,145589.0,8829.0
1679518670815465,105610.0,145556.0,8832.0
1679518670826465,105609.0,145553.0,8815.0
1679518670835465,105617.0,145537.0,8816.0
1679518670847465,105605.0,145593.0,8824.0
1679518670855465,105616.0,145583.0,8823.0
1679518670866464,105593.0,145593.0,8835.0
1679518670874464,105582.0,145583.0,8833.0
1679518670885464,105616.0,145588.0,8788.0
1679518670895464,105623.0,145590.0,8805.0
1679518670906465,105630.0,145573.0,8802.0
1679518670915465,105628.0,145579.0,8829.0
1679518670925465,105606.0,145579.0,8808.0
1679518670935465,105611.0,145587.0,8793.0
1679518670947465,105631.0,145582.0,8807.0
1679518670955465,105616.0,145597.0,8816.0
1679518670965465,105619.0,145591.0,8773.0
1679518670976465,105621.0,145571.0,8789.0
1679518670985465,105622.0,145579.0,8824.0
1679518670996465,105622.0,145594.0,8823.0
1679518671005465,105604.0,145551.0,8826.0
1679518671016465,105620.0,145593.0,8825.0
1679518671025465,105613.0,145599.0,8823.0
1679518671036465,105621.0,145556.0,8835.0
1679518671045465,105617.0,145575.0,8812.0
1679518671055465,105602.0,145573.0,8832.0
1679518671065465,105617.0,145602.0,8829.0
1679518671076465,105615.0,145598.0,8828.0
1679518671085465,105619.0,145623.0,8814.0
1679518671095465,105593.0,145619.0,8825.0
1679518671105465,105626.0,145573.0,8832.0
1679518671116464,105620.0,145610.0,8815.0
1679518671125465,105619.0,145621.0,8824.0
1679518671135465,105615.0,145558.0,8827.0
1679518671145465,105605.0,145586.0,8826.0
1679518671156464,105607.0,145658.0,8838.0
1679518671165465,105580.0,145642.0,8836.0
1679518671175464,105613.0,145665.0,8795.0
1679518671185464,105612.0,145659.0,8844.0
1679518671195464,105609.0,145663.0,8831.0
1679518671206464,105602.0,145702.0,8845.0
1679518671215464,105583.0,145654.0,8840.0
1679518671226464,105604.0,145670.0,8838.0
1679518671235464,105591.0,145654.0,8840.0
1679518671246464,105587.0,145616.0,8835.0
1679518671255464,105588.0,145611.0,8821.0
1679518671265465,105539.0,145653.0,8827.0
1679518671275465,105564.0,145619.0,8818.0
1679518671286465,105568.0,145632.0,8820.0
1679518671295465,105589.0,145638.0,8816.0
1679518671306465,105576.0,145634.0,8825.0
1679518671315465,105590.0,145607.0,8816.0
1679518671326465,105579.0,145585.0,8817.0
1679518671335465,105596.0,145552.0,8815.0
1679518671345465,105583.0,145592.0,8803.0
1679518671355465,105592.0,145614.0,8817.0
1679518671366464,105586.0,145595.0,8798.0
1679518671374464,105584.0,145610.0,8780.0
1679518671385464,105609.0,145577.0,8795.0
1679518671395464,105599.0,145588.0,8819.0
1679518671405464,105603.0,145602.0,8804.0
1679518671415464,105599.0,145594.0,8812.0
1679518671425464,105590.0,145573.0,8810.0
1679518671436464,105606.0,145616.0,8806.0
1679518671445465,105597.0,145632.0,8818.0
1679518671456465,105590.0,145568.0,8814.0
1679518671465465,105605.0,145549.0,8813.0
1679518671475465,105580.0,145587.0,8817.0
1679518671485465,105599.0,145614.0,8822.0
1679518671496465,105595.0,145610.0,8813.0
1679518671505465,105590.0,145634.0,8813.0
