ts,red,ir,green
1679065856094881,96597.0,100970.0,9577.0
1679065856104881,96605.0,100959.0,9569.0
1679065856114881,96600.0,100967.0,9541.0
1679065856124881,96600.0,100967.0,9547.0
1679065856134881,96584.0,100977.0,9585.0
1679065856144881,96598.0,101023.0,9582.0
1679065856155881,96679.0,101102.0,9602.0
1679065856164881,96778.0,101245.0,9610.0
1679065856174881,96931.0,101385.0,9563.0
1679065856184881,97039.0,101542.0,9635.0
1679065856194881,97226.0,101704.0,9640.0
1679065856204881,97351.0,101872.0,9659.0
1679065856214881,97484.0,101975.0,9669.0
1679065856224881,97545.0,102037.0,9668.0
1679065856235881,97582.0,102057.0,9680.0
1679065856244881,97561.0,102003.0,9673.0
1679065856253881,97498.0,101925.0,9642.0
1679065856265881,97429.0,101843.0,9623.0
1679065856274881,97331.0,101741.0,9645.0
1679065856285881,97246.0,101669.0,9648.0
1679065856294881,97144.0,101588.0,9631.0
1679065856304881,97066.0,101486.0,9628.0
1679065856314881,96986.0,101414.0,9604.0
1679065856325881,96902.0,101307.0,9605.0
1679065856334881,96838.0,101205.0,9590.0
1679065856344881,96781.0,101160.0,9584.0
1679065856354881,96707.0,101085.0,9588.0
1679065856366881,96657.0,101039.0,9586.0
1679065856375881,96622.0,101013.0,9564.0
1679065856383881,96570.0,100999.0,9540.0
1679065856394881,96577.0,100999.0,9542.0
1679065856404881,96551.0,100995.0,9578.0
1679065856415881,96572.0,101009.0,9581.0
1679065856424881,96579.0,101039.0,9586.0
1679065856433881,96650.0,101075.0,9560.0
1679065856444881,96675.0,101132.0,9544.0
1679065856454881,96712.0,101140.0,9576.0
1679065856466881,96744.0,101180.0,9588.0
1679065856474881,96781.0,101191.0,9581.0
1679065856484881,96819.0,101253.0,9607.0
1679065856494881,96830.0,101199.0,9592.0
1679065856504881,96840.0,101218.0,9614.0
1679065856514881,96836.0,101212.0,9607.0
1679065856524881,96831.0,101229.0,9606.0
1679065856534881,96818.0,101210.0,9611.0
1679065856544881,96798.0,101223.0,9601.0
1679065856554881,96790.0,101216.0,9599.0
1679065856566881,96777.0,101192.0,9599.0
1679065856574881,96760.0,101179.0,9594.0
1679065856585881,96739.0,101144.0,9593.0
1679065856594881,96723.0,101134.0,9591.0
1679065856604881,96719.0,101146.0,9589.0
1679065856614881,96701.0,101121.0,9580.0
1679065856624881,96696.0,101099.0,9591.0
1679065856633881,96676.0,101094.0,9583.0
1679065856644881,96648.0,101089.0,9584.0
1679065856654881,96656.0,101080.0,9572.0
1679065856665881,96665.0,101099.0,9576.0
1679065856673880,96666.0,101077.0,9576.0
1679065856684880,96638.0,101065.0,9590.0
1679065856694880,96620.0,101074.0,9583.0
1679065856704880,96671.0,101082.0,9577.0
1679065856713880,96680.0,101073.0,9576.0
1679065856724880,96674.0,101077.0,9590.0
1679065856734880,96676.0,101020.0,9584.0
1679065856745880,96672.0,101030.0,9591.0
1679065856753880,96667.0,101041.0,9586.0
1679065856763880,96694.0,101054.0,9566.0
1679065856774881,96699.0,101071.0,9576.0
1679065856784881,96679.0,101070.0,9587.0
1679065856794881,96702.0,101070.0,9548.0
1679065856803881,96663.0,101068.0,9581.0
1679065856814881,96663.0,101081.0,9582.0
1679065856824881,96700.0,101031.0,9592.0
1679065856835881,96673.0,101046.0,9594.0
1679065856844881,96680.0,101056.0,9585.0
1679065856853881,96674.0,101056.0,9557.0
1679065856864881,96678.0,101044.0,9541.0
1679065856875881,96660.0,101055.0,9553.0
1679065856883880,96665.0,101036.0,9583.0
1679065856894880,96656.0,101035.0,9588.0
1679065856904880,96657.0,101038.0,9582.0
1679065856915880,96651.0,101035.0,9588.0
1679065856923880,96673.0,101060.0,9588.0
1679065856933880,96732.0,101123.0,9597.0
1679065856944880,96815.0,101238.0,9586.0
1679065856954881,96932.0,101380.0,9621.0
1679065856964881,97065.0,101582.0,9645.0
1679065856973881,97282.0,101696.0,9659.0
1679065856984881,97423.0,101917.0,9672.0
