ts,x,y,z
1680103390115607,-9.6,1.91,-0.49
1680103390126607,-9.59,1.9,-0.51
1680103390137606,-9.6,1.92,-0.53
1680103390147606,-9.62,1.92,-0.48
1680103390158606,-9.61,1.92,-0.51
1680103390168608,-9.61,1.93,-0.51
1680103390179607,-9.61,1.93,-0.48
1680103390190607,-9.62,1.93,-0.53
1680103390200607,-9.62,1.92,-0.54
1680103390211607,-9.61,1.9,-0.51
1680103390223607,-9.61,1.91,-0.6
1680103390233607,-9.63,1.91,-0.52
1680103390244607,-9.62,1.91,-0.51
1680103390254607,-9.62,1.9,-0.54
1680103390265607,-9.62,1.9,-0.55
1680103390276607,-9.62,1.91,-0.52
1680103390286607,-9.62,1.9,-0.56
1680103390296607,-9.61,1.91,-0.57
1680103390307607,-9.6,1.94,-0.55
1680103390317607,-9.63,1.93,-0.53
1680103390328607,-9.6,1.9,-0.52
1680103390337607,-9.61,1.9,-0.52
1680103390348607,-9.62,1.91,-0.5
1680103390359607,-9.61,1.91,-0.49
1680103390369607,-9.63,1.92,-0.55
1680103390379607,-9.6,1.9,-0.51
1680103390390607,-9.6,1.9,-0.51
1680103390402607,-9.63,1.92,-0.51
1680103390413607,-9.57,1.92,-0.49
1680103390423607,-9.6,1.95,-0.49
1680103390434607,-9.62,1.92,-0.52
1680103390445607,-9.61,1.92,-0.54
1680103390455607,-9.63,1.92,-0.48
1680103390466606,-9.62,1.93,-0.54
1680103390476606,-9.62,1.91,-0.5
1680103390487606,-9.61,1.89,-0.53
1680103390497606,-9.6,1.91,-0.52
1680103390508606,-9.62,1.92,-0.5
1680103390519608,-9.61,1.9,-0.52
1680103390528608,-9.61,1.91,-0.48
1680103390539608,-9.62,1.92,-0.53
1680103390549608,-9.61,1.9,-0.52
1680103390560608,-9.61,1.93,-0.51
1680103390571607,-9.63,1.92,-0.5
1680103390582607,-9.64,1.91,-0.55
1680103390593607,-9.63,1.92,-0.51
1680103390604607,-9.61,1.93,-0.47
1680103390615607,-9.61,1.93,-0.52
1680103390626607,-9.63,1.92,-0.54
1680103390636607,-9.64,1.93,-0.52
1680103390647607,-9.61,1.91,-0.47
1680103390658607,-9.62,1.89,-0.51
1680103390668607,-9.64,1.91,-0.54
1680103390679607,-9.63,1.92,-0.53
1680103390690607,-9.62,1.92,-0.56
1680103390701607,-9.61,1.9,-0.51
1680103390712607,-9.62,1.9,-0.5
1680103390723606,-9.62,1.91,-0.52
1680103390734606,-9.6,1.94,-0.52
1680103390745606,-9.6,1.94,-0.52
1680103390755606,-9.63,1.91,-0.46
1680103390765606,-9.61,1.93,-0.5
1680103390776606,-9.61,1.92,-0.51
1680103390787606,-9.61,1.91,-0.48
1680103390797606,-9.62,1.93,-0.53
1680103390808606,-9.67,1.9,-0.53
1680103390819606,-9.63,1.92,-0.5
1680103390829606,-9.59,1.9,-0.5
1680103390840606,-9.62,1.9,-0.5
1680103390852606,-9.63,1.91,-0.51
1680103390863606,-9.62,1.91,-0.53
1680103390874608,-9.6,1.93,-0.53
1680103390884608,-9.6,1.93,-0.55
1680103390895608,-9.61,1.94,-0.51
1680103390905608,-9.64,1.89,-0.52
1680103390916607,-9.63,1.89,-0.51
1680103390927607,-9.62,1.91,-0.54
1680103390937607,-9.63,1.92,-0.52
1680103390948607,-9.65,1.88,-0.56
1680103390959607,-9.63,1.91,-0.55
1680103390970607,-9.63,1.91,-0.52
1680103390982607,-9.62,1.9,-0.5
1680103390993607,-9.61,1.92,-0.53
1680103391004607,-9.6,1.91,-0.52
1680103391015607,-9.61,1.92,-0.53
1680103391026607,-9.64,1.94,-0.49
1680103391037607,-9.6,1.93,-0.55
1680103391046607,-9.62,1.91,-0.51
1680103391057607,-9.6,1.91,-0.52
1680103391068607,-9.61,1.91,-0.51
1680103391079607,-9.62,1.9,-0.49
1680103391090607,-9.61,1.9,-0.5
1680103391102607,-9.6,1.92,-0.52
1680103391113607,-9.62,1.92,-0.52
1680103391124606,-9.62,1.92,-0.54
1680103391134606,-9.61,1.92,-0.53
1680103391145606,-9.63,1.93,-0.5
1680103391155606,-9.62,1.92,-0.5
1680103391165606,-9.6,1.9,-0.52
1680103391176606,-9.62,1.92,-0.53
1680103391186606,-9.61,1.89,-0.54
1680103391197606,-9.59,1.92,-0.5
1680103391208606,-9.62,1.91,-0.53
1680103391219606,-9.62,1.91,-0.52
1680103391230608,-9.62,1.92,-0.51
1680103391240608,-9.6,1.93,-0.5
1680103391252608,-9.6,1.93,-0.54
1680103391263608,-9.62,1.96,-0.49
1680103391274608,-9.62,1.9,-0.55
1680103391284608,-9.59,1.91,-0.52
1680103391295607,-9.61,1.91,-0.51
1680103391306607,-9.6,1.9,-0.53
1680103391315607,-9.62,1.91,-0.54
1680103391326607,-9.62,1.9,-0.53
1680103391336607,-9.63,1.93,-0.5
1680103391347607,-9.61,1.92,-0.49
1680103391358607,-9.61,1.91,-0.46
1680103391368607,-9.62,1.91,-0.52
1680103391379607,-9.62,1.92,-0.52
1680103391389607,-9.6,1.91,-0.52
1680103391400607,-9.61,1.9,-0.51
1680103391411607,-9.62,1.91,-0.51
1680103391421607,-9.64,1.92,-0.47
1680103391432607,-9.61,1.9,-0.5
1680103391443607,-9.61,1.9,-0.57
1680103391454607,-9.65,1.91,-0.52
1680103391465607,-9.65,1.91,-0.54
1680103391475607,-9.6,1.89,-0.52
1680103391486606,-9.62,1.92,-0.55
1680103391497606,-9.62,1.94,-0.55
1680103391507606,-9.61,1.91,-0.51
1680103391518606,-9.61,1.92,-0.48
1680103391529606,-9.64,1.91,-0.51
1680103391540606,-9.62,1.93,-0.53
1680103391552606,-9.62,1.93,-0.53
1680103391563606,-9.62,1.92,-0.56
1680103391573606,-9.63,1.91,-0.5
1680103391584608,-9.63,1.9,-0.52
1680103391594608,-9.64,1.92,-0.54
1680103391605608,-9.63,1.93,-0.52
1680103391616608,-9.65,1.91,-0.53
1680103391626608,-9.64,1.92,-0.52
1680103391637607,-9.62,1.9,-0.54
1680103391648607,-9.61,1.92,-0.5
1680103391659607,-9.6,1.93,-0.46
1680103391670607,-9.61,1.92,-0.52
1680103391682607,-9.63,1.93,-0.5
1680103391692607,-9.61,1.94,-0.49
1680103391703607,-9.6,1.91,-0.53
1680103391712607,-9.6,1.93,-0.53
1680103391723607,-9.62,1.92,-0.52
1680103391734607,-9.63,1.91,-0.49
1680103391745607,-9.59,1.89,-0.53
1680103391755607,-9.59,1.89,-0.51
1680103391765607,-9.59,1.9,-0.48
1680103391776607,-9.6,1.9,-0.51
1680103391786607,-9.62,1.91,-0.52
1680103391796607,-9.63,1.89,-0.53
1680103391807607,-9.65,1.9,-0.52
1680103391817607,-9.64,1.9,-0.55
1680103391828607,-9.61,1.92,-0.53
1680103391837607,-9.62,1.93,-0.48
1680103391848607,-9.61,1.9,-0.55
