ts,x,y,z
1679517990318019,-9.86,0.22,-0.21
1679517990419019,-9.86,0.19,-0.18
1679517990520019,-9.85,0.2,-0.21
1679517990620019,-9.82,0.18,-0.17
1679517990721019,-9.83,0.18,-0.21
1679517990822019,-9.82,0.2,-0.19
1679517990922019,-9.86,0.18,-0.17
1679517991023019,-9.87,0.19,-0.2
1679517991124019,-9.82,0.24,-0.16
1679517991225020,-9.86,0.16,-0.24
1679517991325019,-9.83,0.18,-0.21
1679517991425019,-9.85,0.18,-0.21
1679517991526019,-9.83,0.23,-0.17
1679517991627020,-9.84,0.18,-0.19
1679517991727019,-9.86,0.18,-0.22
1679517991828019,-9.85,0.19,-0.21
1679517991928018,-9.83,0.21,-0.18
1679517992029019,-9.84,0.19,-0.21
1679517992130019,-9.84,0.2,-0.19
1679517992231019,-9.83,0.22,-0.16
1679517992331019,-9.82,0.18,-0.18
1679517992432019,-9.82,0.19,-0.18
1679517992533019,-9.85,0.19,-0.18
1679517992633019,-9.81,0.22,-0.14
1679517992734019,-9.84,0.19,-0.15
1679517992836019,-9.83,0.18,-0.2
1679517992936019,-9.84,0.18,-0.21
1679517993037019,-9.83,0.19,-0.2
1679517993138019,-9.84,0.17,-0.21
1679517993238019,-9.84,0.21,-0.19
1679517993339019,-9.83,0.2,-0.2
1679517993440019,-9.84,0.2,-0.2
1679517993541019,-9.82,0.2,-0.2
1679517993642019,-9.85,0.19,-0.18
1679517993742019,-9.83,0.19,-0.19
1679517993843019,-9.84,0.19,-0.22
1679517993944019,-9.84,0.18,-0.21
1679517994046019,-9.83,0.2,-0.19
1679517994147019,-9.84,0.21,-0.22
1679517994247019,-9.83,0.22,-0.16
1679517994347019,-9.83,0.21,-0.18
1679517994447019,-9.84,0.2,-0.18
1679517994548019,-9.82,0.22,-0.16
1679517994649019,-9.83,0.2,-0.19
1679517994750019,-9.86,0.19,-0.2
1679517994850019,-9.82,0.22,-0.21
1679517994951019,-9.83,0.2,-0.2
1679517995052019,-9.84,0.2,-0.18
1679517995153019,-9.83,0.18,-0.16
1679517995253018,-9.83,0.21,-0.19
1679517995354019,-9.84,0.2,-0.19
1679517995455019,-9.82,0.21,-0.18
1679517995555019,-9.83,0.2,-0.19
1679517995656019,-9.85,0.19,-0.21
1679517995757019,-9.85,0.19,-0.19
1679517995857019,-9.83,0.19,-0.22
1679517995958019,-9.84,0.19,-0.21
1679517996059019,-9.82,0.22,-0.18
1679517996160019,-9.85,0.17,-0.17
1679517996261019,-9.84,0.19,-0.18
1679517996361019,-9.85,0.19,-0.23
1679517996462019,-9.83,0.19,-0.2
1679517996563019,-9.82,0.2,-0.18
1679517996663019,-9.83,0.19,-0.19
1679517996765019,-9.84,0.19,-0.21
1679517996866019,-9.84,0.22,-0.19
1679517996967019,-9.82,0.17,-0.19
1679517997068019,-9.82,0.24,-0.18
1679517997169019,-9.83,0.22,-0.19
1679517997270019,-9.84,0.21,-0.18
1679517997371019,-9.84,0.2,-0.2
1679517997471019,-9.82,0.23,-0.16
1679517997572019,-9.84,0.17,-0.21
1679517997673019,-9.82,0.21,-0.19
1679517997775019,-9.82,0.21,-0.18
1679517997876019,-9.84,0.2,-0.22
1679517997977019,-9.84,0.2,-0.19
1679517998078019,-9.86,0.22,-0.2
1679517998178019,-9.83,0.21,-0.18
1679517998279019,-9.83,0.2,-0.18
1679517998380020,-9.83,0.21,-0.17
1679517998481019,-9.83,0.21,-0.19
1679517998582019,-9.84,0.19,-0.19
1679517998682019,-9.84,0.17,-0.21
1679517998783019,-9.83,0.19,-0.18
1679517998883019,-9.84,0.18,-0.18
1679517998985019,-9.82,0.18,-0.23
1679517999085018,-9.85,0.18,-0.19
1679517999185018,-9.84,0.18,-0.18
1679517999286018,-9.83,0.19,-0.18
1679517999387019,-9.86,0.2,-0.21
1679517999488019,-9.85,0.2,-0.19
1679517999589019,-9.85,0.17,-0.21
1679517999689019,-9.82,0.18,-0.2
1679517999789018,-9.83,0.16,-0.2
1679517999889018,-9.83,0.18,-0.19
1679517999990018,-9.84,0.17,-0.15
1679518000091019,-9.83,0.18,-0.19
1679518000191018,-9.84,0.16,-0.21
1679518000292019,-9.84,0.18,-0.16
1679518000395018,-9.83,0.18,-0.22
1679518000496019,-9.82,0.18,-0.2
1679518000597019,-9.83,0.17,-0.18
1679518000698019,-9.85,0.15,-0.16
1679518000799019,-9.82,0.2,-0.16
1679518000900019,-9.83,0.21,-0.18
1679518001000019,-9.83,0.15,-0.19
1679518001101019,-9.84,0.17,-0.18
1679518001202019,-9.85,0.18,-0.18
1679518001304019,-9.84,0.19,-0.18
1679518001405019,-9.82,0.24,-0.19
1679518001506019,-9.84,0.11,-0.2
1679518001607019,-9.81,0.17,-0.11
1679518001708019,-9.85,0.11,-0.23
1679518001809019,-9.85,0.16,-0.25
1679518001909019,-9.83,0.16,-0.17
1679518002010019,-9.81,0.17,-0.09
1679518002111019,-9.85,0.16,-0.2
1679518002211019,-9.86,0.19,-0.18
1679518002312019,-9.84,0.14,-0.18
1679518002413019,-9.83,0.16,-0.13
1679518002514019,-9.84,0.16,-0.12
1679518002615019,-9.84,0.21,-0.08
1679518002716019,-9.86,0.19,-0.22
1679518002816019,-9.97,0.18,-0.23
1679518002917019,-10.11,0.27,-0.1
1679518003018019,-10.22,-0.12,-0.15
1679518003118019,-10.18,0.99,0.21
1679518003219019,-10.34,0.59,0.33
1679518003320019,-9.51,0.14,0.58
1679518003421019,-9.31,0.03,0.61
1679518003522019,-10.01,1.24,0.49
1679518003621019,-11.29,2.65,0.75
1679518003722019,-10.41,1.6,1.07
1679518003822019,-8.1,-1.82,-1.39
1679518003924019,-8.78,4.66,4.15
1679518004025019,-8.45,1.7,-3.38
1679518004125019,-8.29,2.25,0.41
1679518004225019,-10.34,5.3,4.63
1679518004326019,-9.07,-2.24,-1.77
1679518004427019,-10.06,7.53,4.42
1679518004527019,-9.35,-0.89,-4.07
1679518004628019,-9.57,7.1,3.67
1679518004729019,-10.98,2.39,1.64
1679518004829019,-7.77,3.26,-1.6
1679518004930019,-11.13,1.88,5.13
1679518005031019,-6.92,-1.36,-7.78
1679518005132019,-9.92,7.35,4.76
1679518005233019,-12.28,0.19,4.58
1679518005333019,-7.32,2.15,-3.61
1679518005434019,-11.31,4.55,6.14
1679518005535019,-10.18,1.73,-1.16
1679518005635019,-9.42,2.44,-2.88
1679518005735019,-9.21,7.74,4.38
1679518005836019,-10.4,-0.02,0.21
1679518005937019,-8.62,4.63,2.01
1679518006037019,-10.6,4.57,3.99
1679518006138019,-7.66,4.06,1.95
1679518006238019,-7.5,4.25,2.47
1679518006339019,-9.35,2.83,3.09
1679518006439019,-8.99,2.66,3.76
1679518006539018,-9.44,4.07,4.22
1679518006639018,-7.97,2.84,1.33
1679518006740018,-8.77,3.11,2.27
1679518006841019,-9.79,1.23,2.12
1679518006943019,-9.67,1.97,1.35
1679518007044019,-9.07,3.61,0.67
1679518007145019,-10.62,0.89,0.64
1679518007245019,-9.13,3.14,0.04
1679518007345018,-10.25,0.23,0.45
1679518007446019,-9.55,0.66,0.43
1679518007547019,-11.09,2.0,-0.15
1679518007648019,-9.15,0.06,-0.07
1679518007749019,-10.35,0.96,-0.09
1679518007850019,-9.77,0.64,0.25
1679518007950019,-9.44,0.66,0.15
1679518008051019,-9.52,0.07,0.3
1679518008153019,-10.49,0.6,-0.12
1679518008254019,-9.94,0.43,0.22
1679518008354019,-9.75,0.45,0.26
1679518008454019,-9.97,0.48,0.13
1679518008555019,-9.85,0.47,0.2
1679518008656019,-9.86,0.61,0.33
1679518008756019,-9.84,0.47,0.19
1679518008857019,-9.81,0.51,0.21
1679518008958019,-9.93,0.49,0.1
1679518009058019,-9.81,0.48,0.14
1679518009159019,-9.82,0.44,0.16
1679518009260019,-9.82,0.56,0.18
1679518009360019,-9.86,0.48,0.14
1679518009462019,-9.82,0.44,0.17
1679518009562019,-9.81,0.49,0.21
1679518009663019,-9.81,0.42,0.21
1679518009764019,-9.82,0.51,0.16
1679518009864019,-9.8,0.54,0.19
1679518009965019,-9.83,0.47,0.23
1679518010065019,-9.83,0.5,0.21
1679518010166019,-9.83,0.48,0.17
1679518010266019,-9.85,0.47,0.19
1679518010367019,-9.85,0.47,0.16
1679518010468019,-9.84,0.49,0.2
1679518010569019,-9.83,0.52,0.19
1679518010669019,-9.85,0.53,0.15
1679518010770019,-9.82,0.51,0.21
